dataset,registry_name,family,source_format,source_path,split,sample_rank,window_index,series_index,window_start,input_len,pred_len,n_channels,pooling,scale,mode_5,mode_10,acf_timescale,acf_first_min,ami2,trev,high_fluctuation,stretch_high,transition_matrix,periodicity,embedding_dist,ami_timescale,whiten_timescale,outlier_timing_pos,outlier_timing_neg,centroid_freq,stretch_decreasing,entropy_pairs,rs_range,dfa,low_freq_power,forecast_error
exchange_rate,exchange_rate,Benchmark,csv,dataset/exchange_rate/exchange_rate.csv,train,1,1447,0,1447,96,96,8,mean,train_split_standard,0.566966035,0.099456813,1.163090683,0.599736773,0.838758226,-0.002008088,0.351897854,0.786084912,1.050480240,0.841337095,0.366881874,0.644757943,-0.729990941,-0.019632554,-0.109813596,0.674980605,-0.319944454,-0.030133769,0.935157332,-0.679797819,-0.716605925,-0.916470780
exchange_rate,exchange_rate,Benchmark,csv,dataset/exchange_rate/exchange_rate.csv,train,2,4208,0,4208,96,96,8,mean,train_split_standard,0.090578053,0.745638172,0.720733626,0.516875697,0.672153330,0.006390667,0.105027951,0.532251007,1.384104282,0.358168284,0.237015733,0.563341174,-0.975950939,1.179539427,-0.371252431,0.700663002,-0.319944454,-0.384382900,0.270718484,0.214033432,-0.716605925,-0.869617266
exchange_rate,exchange_rate,Benchmark,csv,dataset/exchange_rate/exchange_rate.csv,train,3,261,0,261,96,96,8,mean,train_split_standard,0.032261292,0.035545350,1.695117495,1.059239102,1.150384241,-0.028297814,0.029595481,1.240870660,1.099261002,0.102373032,0.479657769,1.833442771,-1.057880562,-0.972658708,1.362702193,0.768140566,-0.319944454,-0.783685464,0.681107184,-0.031770162,-0.778458951,-1.166412316
exchange_rate,exchange_rate,Benchmark,csv,dataset/exchange_rate/exchange_rate.csv,train,4,1676,0,1676,96,96,8,mean,train_split_standard,-0.181707030,-0.081564928,1.578906380,1.466011656,1.294604250,-0.029289406,0.331325362,1.240870660,1.130514259,0.088162184,0.469121808,1.686892586,-1.077780175,-1.225115967,0.866737345,0.745830793,-0.459163592,-0.352086937,0.739734141,0.571565932,-0.762995694,-1.138684536
exchange_rate,exchange_rate,Benchmark,csv,dataset/exchange_rate/exchange_rate.csv,train,5,2533,0,2533,96,96,8,mean,train_split_standard,-0.132917141,0.022695613,0.128341069,-0.025487708,-0.162872219,0.020849953,0.749632699,0.172652974,-0.224629912,-0.323952390,-0.190728795,0.172540683,-0.834778967,-0.395162727,0.997456762,0.236313887,-0.459163592,0.237726818,-0.178754854,0.079958744,-0.299098004,-0.319379100
illness,illness,Benchmark,csv,dataset/illness/national_illness.csv,train,1,237,0,237,36,36,7,mean,train_split_standard,-1.378274057,-1.531438335,-0.099736066,-0.021183236,1.094232030,0.089947145,-0.010989707,-0.939381280,1.311728318,-0.975621248,-0.201067331,-0.153126393,0.555825991,1.813537746,-0.560557581,0.652491233,0.240909788,-0.830821146,-0.497015479,-0.188190631,-0.469193824,-0.856162898
illness,illness,Benchmark,csv,dataset/illness/national_illness.csv,train,2,509,0,509,36,36,7,mean,train_split_standard,-0.420579799,-0.438442239,-0.041177112,0.013252535,0.981500557,0.103163351,-0.393889966,-0.661372716,0.559770258,-0.715765753,-0.067982013,-0.078688204,-0.100031158,1.207640324,-1.638535073,0.583160423,-0.363699040,-0.355442774,-0.217839493,-0.188190631,-0.469193824,-0.570111536
illness,illness,Benchmark,csv,dataset/illness/national_illness.csv,train,3,415,0,415,36,36,7,mean,train_split_standard,-0.661710188,-0.370938813,-0.518842652,-0.425803554,0.579148932,0.161670164,0.563360680,-0.504237442,0.046980899,-1.332922554,-0.055946776,-0.618365073,1.699853445,0.322837740,-1.468636447,0.206972814,0.877340133,-0.200813808,-0.385345084,-0.315880809,-0.292470894,-0.119354438
illness,illness,Benchmark,csv,dataset/illness/national_illness.csv,train,4,4,0,4,36,36,7,mean,train_split_standard,-0.041912712,-0.257785392,-0.242625236,-0.072836894,1.185932511,-0.014711484,0.180460422,-0.504237442,1.259091254,-1.332922554,0.065974210,-0.320612318,0.118435171,-0.480216780,2.163679015,0.554223416,0.400017374,-0.559275943,-0.329509887,-0.252035720,-0.504538410,-0.595840270
illness,illness,Benchmark,csv,dataset/illness/national_illness.csv,train,5,252,0,252,36,36,7,mean,train_split_standard,0.099922860,0.199453867,-0.352423172,0.073515136,0.694293672,0.082758342,-0.202439837,-0.516324770,1.101180062,-1.332922554,-0.149470839,-0.395050507,0.122902239,1.313431937,-2.036918059,0.535648126,-0.204591454,-0.311466043,-0.552850676,-0.507416077,-0.433849238,-0.355466252
traffic,traffic,Benchmark,csv,dataset/traffic/traffic.csv,train,1,1164,0,1164,96,96,862,mean,train_split_standard,-0.657661480,-0.677177298,-0.635262628,-0.444529503,-0.386476839,-0.048479855,0.418611280,-0.633215691,-0.826395515,1.294666424,-0.463145088,-0.697164200,0.536824825,-0.624204722,0.823990829,0.375971406,0.840128893,-0.039180395,-0.475743694,-1.964654318,-0.264404340,0.356823413
traffic,traffic,Benchmark,csv,dataset/traffic/traffic.csv,train,2,9752,0,9752,96,96,862,mean,train_split_standard,-0.384574255,-0.707193415,-0.610493400,-0.430058090,-0.423101107,-0.118759258,0.357259749,-0.593167650,-0.897391777,1.295457747,-0.438930824,-0.635355460,0.723811063,-1.001616610,0.946681894,0.313088189,0.944527095,-0.127782330,-0.108293685,-1.627445591,-0.245891486,0.166261688
traffic,traffic,Benchmark,csv,dataset/traffic/traffic.csv,train,3,1333,0,1333,96,96,862,mean,train_split_standard,-0.953452125,-1.209318111,-0.517260348,-0.445088785,-0.304123062,-0.115299578,-0.134061636,-0.514543923,-0.352275387,1.290841695,-0.483884322,-0.331449896,-0.189574845,-0.904543572,1.398196431,0.396794759,0.726169468,-0.146087914,-1.749123017,0.635129570,-0.298703350,0.188640084
traffic,traffic,Benchmark,csv,dataset/traffic/traffic.csv,train,4,5565,0,5565,96,96,862,mean,train_split_standard,0.026768633,-0.174863406,-0.635847300,-0.422507787,-0.474826093,-0.023950402,0.413456224,-0.597486556,-0.864491348,1.196806111,-0.476153297,-0.693839524,0.517308019,0.106193374,0.111073139,0.294975681,0.858992924,-0.040561798,-0.981758266,-1.439969152,-0.245604465,0.349821975
traffic,traffic,Benchmark,csv,dataset/traffic/traffic.csv,train,5,5038,0,5038,96,96,862,mean,train_split_standard,0.078931793,-0.131374739,-0.620982276,-0.423067069,-0.388038171,-0.036760018,0.415811002,-0.581094343,-0.906680762,1.303502867,-0.434738694,-0.694444011,0.642438030,-0.730620436,0.148913440,0.420086114,0.761055006,-0.077893529,-0.868222380,-1.749180845,-0.282630174,0.271103967
weather,weather,Benchmark,csv,dataset/weather/weather.csv,train,1,21916,0,21916,96,96,21,mean,train_split_standard,0.577864881,0.763578541,2.321945920,1.643212398,1.351593911,-0.024406356,-0.741709693,2.042159835,0.367348972,-1.154271901,2.347034037,2.092425636,0.966713822,-0.498249441,0.690247824,0.412683751,2.510844686,-1.155642412,-0.567740062,0.254468655,-0.757841276,-1.445517423
weather,weather,Benchmark,csv,dataset/weather/weather.csv,train,2,18330,0,18330,96,96,21,mean,train_split_standard,0.786194485,0.824612234,2.102535545,1.732171475,1.192726530,0.014380948,-0.914126769,1.860849902,0.752690375,-0.986448560,1.962812397,1.707828327,1.261750789,0.025298827,0.017976535,0.292063588,2.500237514,-1.233026119,0.228842086,-0.103063845,-0.669479811,-1.341949837
weather,weather,Benchmark,csv,dataset/weather/weather.csv,train,3,15632,0,15632,96,96,21,mean,train_split_standard,-0.296576912,-0.424272540,1.382045969,1.436597767,1.409766081,0.047864110,-1.501912253,0.768961197,1.286173773,-0.250191325,1.494571322,0.969649621,-0.706766852,-0.238579118,0.773000172,0.663444282,1.481948961,-1.246271209,0.779749366,0.535387048,-0.693042868,-1.104132126
weather,weather,Benchmark,csv,dataset/weather/weather.csv,train,4,16458,0,16458,96,96,21,mean,train_split_standard,0.433577826,0.647900517,1.898556514,1.250070670,0.921794342,-0.021743355,-0.694686855,1.897111889,0.454990839,-0.694111129,1.603940676,1.168151458,1.121139374,-0.664751015,-0.299118747,0.362652111,2.266879720,-1.094168921,0.050169455,0.169341869,-0.751950511,-1.312621325
weather,weather,Benchmark,csv,dataset/weather/weather.csv,train,5,15745,0,15745,96,96,21,mean,train_split_standard,-0.495612615,-0.459091743,2.581838142,1.651821341,1.371476184,-0.010876005,-0.770445872,1.933373875,0.774968782,-0.970207592,2.055382134,2.092425636,0.896697555,-0.472402627,0.707823544,0.374726459,2.627523583,-1.189860590,-0.188060721,-0.477621702,-0.769622804,-1.483248437
anonymous_public_load_power_data_per_unit,anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,1,65669003,181,253201,96,96,1,mean,train_split_standard,-1.129656990,-0.448611609,-0.002720781,-0.115881609,-0.379956180,0.171664538,-0.258419406,0.172652974,-0.826652416,1.736620480,-0.550648075,-0.153126393,-0.941901581,-0.944257266,-0.563486868,0.466204471,-0.236412971,0.255921027,1.189207480,-0.009424381,-0.592899874,-0.222977747
anonymous_public_load_power_data_per_unit,anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,2,87202127,237,349435,96,96,1,mean,train_split_standard,0.856507394,0.250494258,-0.303683543,-0.296669410,-0.835112036,-0.089607018,-1.410478955,-0.588848743,-0.514455543,-0.650801880,-0.647354301,0.237674098,-0.993708992,-2.055069206,-1.024849517,0.208751581,-0.904664834,0.407914578,1.189207480,0.348108120,-0.592899874,0.219888136
anonymous_public_load_power_data_per_unit,anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,3,96780739,264,69329,96,96,1,mean,train_split_standard,1.430928994,0.680026691,-1.051328593,-0.899295416,-1.358743721,1.942083620,-0.477859320,-0.419626140,-0.479177713,-0.196054763,-0.902064846,-0.934727375,-0.749474056,0.116063223,-1.178637067,-1.177959333,-0.013662350,0.903576744,1.189207480,0.884406870,0.767866686,1.396750855
anonymous_public_load_power_data_per_unit,anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,4,21275141,65,173658,96,96,1,mean,train_split_standard,-0.483384450,0.184924440,-0.124820256,-0.055619008,-0.081512417,-0.332743948,0.838780164,-0.335014838,-0.456548058,-1.332922554,-0.475533875,-0.022859563,-0.605153412,1.378349518,0.082420841,0.337692103,-0.681914213,0.077751469,1.032868927,0.348108120,-0.592899874,0.080695654
anonymous_public_load_power_data_per_unit,anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,5,20333021,62,77602,96,96,1,mean,train_split_standard,-2.279229489,-1.706059363,1.300869867,0.547006997,0.780657871,0.008190108,0.345040357,-0.250403536,0.434443915,1.850307259,-0.001748111,-0.153126393,-1.004262354,1.529823874,-2.039847346,0.603779843,-0.681914213,-0.121893754,0.720191822,1.241939370,-0.840311976,-0.617789908
anonymous_public_pv_power_data_per_unit,anonymous_public_pv_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_pv_power_data_per_unit/*.rds,train,1,8434310,24,384199,96,96,1,mean,train_split_standard,0.323259144,0.083396229,-0.070100654,3.981975228,-0.498167883,0.038374875,-3.385438181,-1.011905253,4.848281072,-1.332922554,-0.287236895,3.885145349,1.415335604,2.236704199,-0.348184298,0.768701301,-1.127415454,-4.212265893,-2.406579227,1.420705620,-0.592899874,-1.277854025
anonymous_public_pv_power_data_per_unit,anonymous_public_pv_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_pv_power_data_per_unit/*.rds,train,2,55071613,151,284064,96,96,1,mean,train_split_standard,-1.745964000,-2.058462949,1.890963959,-0.477457212,0.534501678,-0.092320508,-0.368139363,-0.081180932,2.627654924,-0.764488659,-0.379763167,-1.064994206,-1.183669498,-2.257035013,2.204689028,0.231851331,2.213843858,-0.265759449,0.876530375,0.705640620,-0.840311976,-0.605385568
anonymous_public_pv_power_data_per_unit,anonymous_public_pv_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_pv_power_data_per_unit/*.rds,train,3,16177150,50,66517,96,96,1,mean,train_split_standard,0.497488063,0.180608745,-0.551495690,-0.597982413,-0.675236510,-0.112838166,0.235320400,1.018765993,-1.039809167,0.372379132,-0.597240409,-0.543926884,-0.220298362,-1.247205977,2.327719068,0.296912885,0.654589512,0.101608385,-0.843193702,1.241939370,-0.221781722,0.284151899
anonymous_public_pv_power_data_per_unit,anonymous_public_pv_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_pv_power_data_per_unit/*.rds,train,4,1468471,5,124631,96,96,1,mean,train_split_standard,0.454999568,0.106553437,-0.188511245,0.788057399,0.990843295,0.108595173,-1.081319084,1.864879012,0.434443915,-1.332922554,-0.364484232,0.367940929,-1.039667179,1.125892259,-2.747270075,0.569441167,-0.236412971,-0.751254582,-2.250240675,-0.009424381,-0.592899874,-0.775244286
anonymous_public_pv_power_data_per_unit,anonymous_public_pv_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_pv_power_data_per_unit/*.rds,train,5,40332331,113,95025,96,96,1,mean,train_split_standard,-1.176925087,-1.349717796,0.058045392,0.305956595,-0.311728587,0.017263200,-0.642439256,-0.758071347,-0.223519388,1.622933701,-0.471220161,0.758741420,-0.784752436,1.378349518,-1.670757226,0.473076371,-0.459163592,-0.526757094,1.189207480,-0.009424381,-0.592899874,-0.257580066
australian_electricity_demand_dataset,australian_electricity_demand_dataset,Monash,tsf,dataset/Monash_Dataset/australian_electricity_demand_dataset/australian_electricity_demand_dataset.tsf,train,1,38910,0,38910,96,96,1,mean,train_split_standard,2.046218932,2.528777376,0.133976253,0.125168793,0.995988334,0.008347225,-0.368139363,0.680320785,-0.192187803,1.281873364,0.915860685,-0.022859563,0.882151002,0.267537578,-1.332424617,0.979739439,2.213843858,-0.716985442,-0.061500940,0.884406870,-0.592899874,-0.971391473
australian_electricity_demand_dataset,australian_electricity_demand_dataset,Monash,tsf,dataset/Monash_Dataset/australian_electricity_demand_dataset/australian_electricity_demand_dataset.tsf,train,2,685227,4,38823,96,96,1,mean,train_split_standard,1.599754122,2.121387352,-0.449262658,-0.417194611,0.187544666,-0.004378356,0.838780164,-0.673460045,-0.339019850,1.395560143,-0.189329128,-0.543926884,1.367228722,-0.111148311,0.697571040,0.697203218,1.768342617,-0.104483584,-1.468547912,-0.724489381,-0.345487773,-0.246160207
australian_electricity_demand_dataset,australian_electricity_demand_dataset,Monash,tsf,dataset/Monash_Dataset/australian_electricity_demand_dataset/australian_electricity_demand_dataset.tsf,train,3,329238,2,6590,96,96,1,mean,train_split_standard,0.170203660,0.744514136,-0.049178593,0.245693995,0.707880297,0.024150468,0.235320400,0.934154691,-1.196756774,1.395560143,0.510178233,-0.022859563,0.405091096,-1.146223073,-0.071366709,0.867837308,0.654589512,-0.300605384,0.094837612,0.348108120,-0.592899874,-0.608901077
australian_electricity_demand_dataset,australian_electricity_demand_dataset,Monash,tsf,dataset/Monash_Dataset/australian_electricity_demand_dataset/australian_electricity_demand_dataset.tsf,train,4,551221,3,66174,96,96,1,mean,train_split_standard,1.050803686,1.586149650,-0.155490578,-0.176144209,0.506036568,-0.003804533,0.180460422,1.103377295,-1.083258104,1.395560143,0.532839363,-0.283393223,0.779255728,-1.095731621,0.205450881,0.909136356,0.654589512,-0.067908118,0.251176165,-0.545723131,-0.592899874,-0.602554333
australian_electricity_demand_dataset,australian_electricity_demand_dataset,Monash,tsf,dataset/Monash_Dataset/australian_electricity_demand_dataset/australian_electricity_demand_dataset.tsf,train,5,173662,1,12338,96,96,1,mean,train_split_standard,-0.876833671,-1.089579176,1.353471595,0.667532198,1.276372174,0.000234472,0.345040357,1.103377295,1.311728318,-1.332922554,1.127841143,2.061409724,-0.389634584,1.454086696,-2.101362366,0.989052894,0.209088271,-0.419574985,1.189207480,0.705640620,-0.840311976,-1.146608005
bitcoin_dataset_without_missing_values,bitcoin_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/bitcoin_dataset_without_missing_values/bitcoin_dataset_without_missing_values.tsf,train,1,30987,11,381,96,96,1,mean,train_split_standard,0.000000000,0.000000000,-1.333575993,-1.140345818,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.332922554,0.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,0.000000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000
bitcoin_dataset_without_missing_values,bitcoin_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/bitcoin_dataset_without_missing_values/bitcoin_dataset_without_missing_values.tsf,train,2,43948,15,1682,96,96,1,mean,train_split_standard,0.000000000,0.000000000,-1.333575993,-1.140345818,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.332922554,0.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,0.000000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000
bitcoin_dataset_without_missing_values,bitcoin_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/bitcoin_dataset_without_missing_values/bitcoin_dataset_without_missing_values.tsf,train,3,40888,14,1633,96,96,1,mean,train_split_standard,0.000000000,0.000000000,-1.333575993,-1.140345818,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.332922554,0.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,0.000000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000
bitcoin_dataset_without_missing_values,bitcoin_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/bitcoin_dataset_without_missing_values/bitcoin_dataset_without_missing_values.tsf,train,4,29113,10,1130,96,96,1,mean,train_split_standard,0.000000000,0.000000000,-1.333575993,-1.140345818,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.332922554,0.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,0.000000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000
bitcoin_dataset_without_missing_values,bitcoin_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/bitcoin_dataset_without_missing_values/bitcoin_dataset_without_missing_values.tsf,train,5,10938,3,2289,96,96,1,mean,train_split_standard,0.945779344,0.557655631,-0.470749245,3.138298821,-1.124956921,0.536919880,-3.714598052,5.587776295,0.434443915,1.054499806,-0.714157622,-0.413660054,-1.124306840,1.302612341,-2.716512565,0.412556160,-1.350166075,-4.343838857,-1.312209360,-2.690918132,-0.345487773,-0.283109946
elecdemand_dataset,elecdemand_dataset,Monash,tsf,dataset/Monash_Dataset/elecdemand_dataset/elecdemand_dataset.tsf,train,1,6986,0,6986,96,96,1,mean,train_split_standard,1.243254927,1.760011923,-0.023078560,0.004643592,0.856076889,0.006333697,-0.038979492,0.680320785,-0.735268624,1.736620480,0.932901091,-0.153126393,0.943888167,0.040326045,-0.778789438,0.937254387,0.654589512,-0.232975065,0.407514717,-0.545723131,-0.592899874,-0.766291402
elecdemand_dataset,elecdemand_dataset,Monash,tsf,dataset/Monash_Dataset/elecdemand_dataset/elecdemand_dataset.tsf,train,2,5432,0,5432,96,96,1,mean,train_split_standard,1.964594371,1.696646430,-0.084418088,-0.115881609,0.675937597,0.004499744,0.070740465,1.272599898,-0.223519388,1.281873364,0.882807515,0.498207759,0.203042194,-1.019994444,0.697571040,0.751610149,0.431838891,-0.369713355,-2.093902122,0.348108120,-0.592899874,-0.740966726
elecdemand_dataset,elecdemand_dataset,Monash,tsf,dataset/Monash_Dataset/elecdemand_dataset/elecdemand_dataset.tsf,train,3,9917,0,9917,96,96,1,mean,train_split_standard,-0.930030266,-1.170719338,-0.166663989,-0.115881609,0.740947876,0.018778413,0.509620293,-0.504237442,-1.027696759,1.622933701,0.294607380,-0.283393223,0.573465180,1.125892259,-0.932576987,0.938334204,0.654589512,-0.601227357,1.032868927,-0.903255631,-0.592899874,-0.601087045
elecdemand_dataset,elecdemand_dataset,Monash,tsf,dataset/Monash_Dataset/elecdemand_dataset/elecdemand_dataset.tsf,train,4,9573,0,9573,96,96,1,mean,train_split_standard,0.956025741,0.677180727,-0.323786743,-0.236406810,0.878210526,0.018103332,0.783920185,-0.588848743,-0.210831391,-1.332922554,0.491341887,-0.413660054,1.499522646,0.974417904,-0.440456828,0.866232505,0.654589512,-0.310829907,-2.093902122,-0.009424381,-0.345487773,-0.636128249
elecdemand_dataset,elecdemand_dataset,Monash,tsf,dataset/Monash_Dataset/elecdemand_dataset/elecdemand_dataset.tsf,train,5,7155,0,7155,96,96,1,mean,train_split_standard,0.352792249,0.102027568,-0.120129855,-0.296669410,0.796265136,0.012240153,0.345040357,1.272599898,-0.456548058,0.940813027,0.564751162,-0.022859563,0.405091096,-0.893765814,0.328480921,0.903592004,1.545591996,-0.247897555,0.251176165,-2.690918132,-0.592899874,-0.659070588
electricity_hourly_dataset,electricity_hourly_dataset,Monash,tsf,dataset/Monash_Dataset/electricity_hourly_dataset/electricity_hourly_dataset.tsf,train,1,1490981,81,15080,96,96,1,mean,train_split_standard,0.621331765,0.417733098,1.074937386,1.209895603,1.174664021,0.003613248,-1.355618977,0.511098181,0.160292538,-1.332922554,0.113933351,0.889008250,-0.723015271,1.555069600,0.266965901,0.834516991,-0.013662350,-0.412989921,0.563853270,1.420705620,-0.716605925,-1.057802895
electricity_hourly_dataset,electricity_hourly_dataset,Monash,tsf,dataset/Monash_Dataset/electricity_hourly_dataset/electricity_hourly_dataset.tsf,train,2,2380248,130,11518,96,96,1,mean,train_split_standard,-0.614172379,-0.852549045,-0.591363161,-0.417194611,-0.493306457,-0.144802960,-0.587579277,-0.927293951,-0.210831391,1.281873364,-0.573858991,-0.413660054,-0.352592285,-1.045240170,1.528023809,0.456155184,0.431838891,-0.479724896,-1.937563570,-0.366956881,-0.345487773,0.055165076
electricity_hourly_dataset,electricity_hourly_dataset,Monash,tsf,dataset/Monash_Dataset/electricity_hourly_dataset/electricity_hourly_dataset.tsf,train,3,706720,38,14322,96,96,1,mean,train_split_standard,-1.954363337,-1.355981809,-0.837668910,-0.718507614,-1.028889397,0.086882431,0.948500121,-1.096516555,-1.230572232,-0.082367984,-0.472934588,-0.934727375,1.499522646,-0.616062829,0.666813530,0.321038612,-0.013662350,0.631238184,-1.937563570,-2.690918132,0.273042482,0.894267980
electricity_hourly_dataset,electricity_hourly_dataset,Monash,tsf,dataset/Monash_Dataset/electricity_hourly_dataset/electricity_hourly_dataset.tsf,train,4,1949842,107,195,96,96,1,mean,train_split_standard,2.163075725,1.266206324,-1.208300095,4.644863834,-2.028278541,-13.247289561,-3.934037966,-1.773406970,6.328725843,-1.332922554,-0.859573081,3.885145349,2.425580112,-2.358017917,0.051663331,-2.352146171,-1.572916696,-5.415166942,-2.406579227,-2.690918132,2.994575602,-1.042071678
