dataset,registry_name,family,source_format,source_path,split,sample_rank,window_index,series_index,window_start,input_len,pred_len,n_channels,pooling,scale,pc1,pc2,pc3,pc1_explained_ratio,pc2_explained_ratio,pc3_explained_ratio
illness,illness,Benchmark,csv,dataset/illness/national_illness.csv,train,1,237,0,237,36,36,7,mean,train_split_standard,1.002187332,-0.485598245,-1.092528346,0.359667531,0.099896136,0.091346773
illness,illness,Benchmark,csv,dataset/illness/national_illness.csv,train,2,509,0,509,36,36,7,mean,train_split_standard,0.798211503,0.332667616,-1.048847754,0.359667531,0.099896136,0.091346773
illness,illness,Benchmark,csv,dataset/illness/national_illness.csv,train,3,415,0,415,36,36,7,mean,train_split_standard,-0.385240344,-0.234048425,0.145113726,0.359667531,0.099896136,0.091346773
illness,illness,Benchmark,csv,dataset/illness/national_illness.csv,train,4,4,0,4,36,36,7,mean,train_split_standard,0.888791812,-0.562791482,0.693438195,0.359667531,0.099896136,0.091346773
illness,illness,Benchmark,csv,dataset/illness/national_illness.csv,train,5,252,0,252,36,36,7,mean,train_split_standard,0.483933093,1.116713368,-0.633850959,0.359667531,0.099896136,0.091346773
traffic,traffic,Benchmark,csv,dataset/traffic/traffic.csv,train,1,1164,0,1164,96,96,862,mean,train_split_standard,-1.149642715,-2.415141465,1.742775466,0.359667531,0.099896136,0.091346773
traffic,traffic,Benchmark,csv,dataset/traffic/traffic.csv,train,2,9752,0,9752,96,96,862,mean,train_split_standard,-1.010680027,-2.302400174,1.879232690,0.359667531,0.099896136,0.091346773
traffic,traffic,Benchmark,csv,dataset/traffic/traffic.csv,train,3,1333,0,1333,96,96,862,mean,train_split_standard,-0.643314939,-2.229863808,0.820488139,0.359667531,0.099896136,0.091346773
traffic,traffic,Benchmark,csv,dataset/traffic/traffic.csv,train,4,5565,0,5565,96,96,862,mean,train_split_standard,-1.220664474,-1.547303711,1.627259791,0.359667531,0.099896136,0.091346773
traffic,traffic,Benchmark,csv,dataset/traffic/traffic.csv,train,5,5038,0,5038,96,96,862,mean,train_split_standard,-1.115592454,-1.810532862,2.068307195,0.359667531,0.099896136,0.091346773
weather,weather,Benchmark,csv,dataset/weather/weather.csv,train,1,21916,0,21916,96,96,21,mean,train_split_standard,4.989903383,0.694636420,1.487480618,0.359667531,0.099896136,0.091346773
weather,weather,Benchmark,csv,dataset/weather/weather.csv,train,2,18330,0,18330,96,96,21,mean,train_split_standard,4.723614880,1.165445432,1.357252923,0.359667531,0.099896136,0.091346773
weather,weather,Benchmark,csv,dataset/weather/weather.csv,train,3,15632,0,15632,96,96,21,mean,train_split_standard,4.188092231,0.033855912,-0.187698944,0.359667531,0.099896136,0.091346773
weather,weather,Benchmark,csv,dataset/weather/weather.csv,train,4,16458,0,16458,96,96,21,mean,train_split_standard,4.063490221,0.545833785,1.223688290,0.359667531,0.099896136,0.091346773
weather,weather,Benchmark,csv,dataset/weather/weather.csv,train,5,15745,0,15745,96,96,21,mean,train_split_standard,5.135497687,-0.262522252,0.946141509,0.359667531,0.099896136,0.091346773
anonymous_public_load_power_data_per_unit,anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,1,65669003,181,253201,96,96,1,mean,train_split_standard,0.077638985,-1.755707386,-0.757361046,0.359667531,0.099896136,0.091346773
anonymous_public_load_power_data_per_unit,anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,2,87202127,237,349435,96,96,1,mean,train_split_standard,-0.466062589,0.756189436,-0.351237441,0.359667531,0.099896136,0.091346773
anonymous_public_load_power_data_per_unit,anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,3,96780739,264,69329,96,96,1,mean,train_split_standard,-2.871787901,1.321632068,-1.225415524,0.359667531,0.099896136,0.091346773
anonymous_public_load_power_data_per_unit,anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,4,21275141,65,173658,96,96,1,mean,train_split_standard,-0.324197431,0.308326529,-1.634818789,0.359667531,0.099896136,0.091346773
anonymous_public_load_power_data_per_unit,anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,5,20333021,62,77602,96,96,1,mean,train_split_standard,1.586127905,-1.487766620,-3.171660278,0.359667531,0.099896136,0.091346773
anonymous_public_pv_power_data_per_unit,anonymous_public_pv_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_pv_power_data_per_unit/*.rds,train,1,8434310,24,384199,96,96,1,mean,train_split_standard,5.054341416,5.020533008,0.662732133,0.359667531,0.099896136,0.091346773
anonymous_public_pv_power_data_per_unit,anonymous_public_pv_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_pv_power_data_per_unit/*.rds,train,2,55071613,151,284064,96,96,1,mean,train_split_standard,1.850419396,-2.365808249,-0.899061747,0.359667531,0.099896136,0.091346773
anonymous_public_pv_power_data_per_unit,anonymous_public_pv_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_pv_power_data_per_unit/*.rds,train,3,16177150,50,66517,96,96,1,mean,train_split_standard,-0.823974774,-1.163634675,1.109642000,0.359667531,0.099896136,0.091346773
anonymous_public_pv_power_data_per_unit,anonymous_public_pv_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_pv_power_data_per_unit/*.rds,train,4,1468471,5,124631,96,96,1,mean,train_split_standard,1.984492008,1.504725132,-0.832222746,0.359667531,0.099896136,0.091346773
anonymous_public_pv_power_data_per_unit,anonymous_public_pv_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_pv_power_data_per_unit/*.rds,train,5,40332331,113,95025,96,96,1,mean,train_split_standard,0.696803019,-0.720126166,-1.739525015,0.359667531,0.099896136,0.091346773
australian_electricity_demand_dataset,australian_electricity_demand_dataset,Monash,tsf,dataset/Monash_Dataset/australian_electricity_demand_dataset/australian_electricity_demand_dataset.tsf,train,1,38910,0,38910,96,96,1,mean,train_split_standard,2.096746321,0.864685983,2.067433099,0.359667531,0.099896136,0.091346773
australian_electricity_demand_dataset,australian_electricity_demand_dataset,Monash,tsf,dataset/Monash_Dataset/australian_electricity_demand_dataset/australian_electricity_demand_dataset.tsf,train,2,685227,4,38823,96,96,1,mean,train_split_standard,-0.442894035,-0.610723448,3.379762661,0.359667531,0.099896136,0.091346773
australian_electricity_demand_dataset,australian_electricity_demand_dataset,Monash,tsf,dataset/Monash_Dataset/australian_electricity_demand_dataset/australian_electricity_demand_dataset.tsf,train,3,329238,2,6590,96,96,1,mean,train_split_standard,1.177469427,-1.219274797,1.182568483,0.359667531,0.099896136,0.091346773
australian_electricity_demand_dataset,australian_electricity_demand_dataset,Monash,tsf,dataset/Monash_Dataset/australian_electricity_demand_dataset/australian_electricity_demand_dataset.tsf,train,4,551221,3,66174,96,96,1,mean,train_split_standard,0.855808419,-0.834444669,2.170391391,0.359667531,0.099896136,0.091346773
australian_electricity_demand_dataset,australian_electricity_demand_dataset,Monash,tsf,dataset/Monash_Dataset/australian_electricity_demand_dataset/australian_electricity_demand_dataset.tsf,train,5,173662,1,12338,96,96,1,mean,train_split_standard,3.707161046,0.667122628,-2.776559317,0.359667531,0.099896136,0.091346773
bitcoin_dataset_without_missing_values,bitcoin_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/bitcoin_dataset_without_missing_values/bitcoin_dataset_without_missing_values.tsf,train,1,30987,11,381,96,96,1,mean,train_split_standard,-0.802710392,0.296622877,-0.123902612,0.359667531,0.099896136,0.091346773
bitcoin_dataset_without_missing_values,bitcoin_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/bitcoin_dataset_without_missing_values/bitcoin_dataset_without_missing_values.tsf,train,2,43948,15,1682,96,96,1,mean,train_split_standard,-0.802710392,0.296622877,-0.123902612,0.359667531,0.099896136,0.091346773
bitcoin_dataset_without_missing_values,bitcoin_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/bitcoin_dataset_without_missing_values/bitcoin_dataset_without_missing_values.tsf,train,3,40888,14,1633,96,96,1,mean,train_split_standard,-0.802710392,0.296622877,-0.123902612,0.359667531,0.099896136,0.091346773
bitcoin_dataset_without_missing_values,bitcoin_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/bitcoin_dataset_without_missing_values/bitcoin_dataset_without_missing_values.tsf,train,4,29113,10,1130,96,96,1,mean,train_split_standard,-0.802710392,0.296622877,-0.123902612,0.359667531,0.099896136,0.091346773
bitcoin_dataset_without_missing_values,bitcoin_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/bitcoin_dataset_without_missing_values/bitcoin_dataset_without_missing_values.tsf,train,5,10938,3,2289,96,96,1,mean,train_split_standard,3.771231123,2.622493613,1.241616934,0.359667531,0.099896136,0.091346773
elecdemand_dataset,elecdemand_dataset,Monash,tsf,dataset/Monash_Dataset/elecdemand_dataset/elecdemand_dataset.tsf,train,1,6986,0,6986,96,96,1,mean,train_split_standard,1.339976681,-0.196937112,1.873838329,0.359667531,0.099896136,0.091346773
elecdemand_dataset,elecdemand_dataset,Monash,tsf,dataset/Monash_Dataset/elecdemand_dataset/elecdemand_dataset.tsf,train,2,5432,0,5432,96,96,1,mean,train_split_standard,1.447805796,-0.019014563,2.583369701,0.359667531,0.099896136,0.091346773
elecdemand_dataset,elecdemand_dataset,Monash,tsf,dataset/Monash_Dataset/elecdemand_dataset/elecdemand_dataset.tsf,train,3,9917,0,9917,96,96,1,mean,train_split_standard,0.655727017,-2.070652660,-0.130731050,0.359667531,0.099896136,0.091346773
elecdemand_dataset,elecdemand_dataset,Monash,tsf,dataset/Monash_Dataset/elecdemand_dataset/elecdemand_dataset.tsf,train,4,9573,0,9573,96,96,1,mean,train_split_standard,0.137642383,0.372638109,1.325560023,0.359667531,0.099896136,0.091346773
elecdemand_dataset,elecdemand_dataset,Monash,tsf,dataset/Monash_Dataset/elecdemand_dataset/elecdemand_dataset.tsf,train,5,7155,0,7155,96,96,1,mean,train_split_standard,1.323235665,-1.946180038,2.209664562,0.359667531,0.099896136,0.091346773
electricity_hourly_dataset,electricity_hourly_dataset,Monash,tsf,dataset/Monash_Dataset/electricity_hourly_dataset/electricity_hourly_dataset.tsf,train,1,1490981,81,15080,96,96,1,mean,train_split_standard,2.782610818,1.462475561,-1.328258200,0.359667531,0.099896136,0.091346773
electricity_hourly_dataset,electricity_hourly_dataset,Monash,tsf,dataset/Monash_Dataset/electricity_hourly_dataset/electricity_hourly_dataset.tsf,train,2,2380248,130,11518,96,96,1,mean,train_split_standard,-0.675467446,-2.011182059,1.554452618,0.359667531,0.099896136,0.091346773
electricity_hourly_dataset,electricity_hourly_dataset,Monash,tsf,dataset/Monash_Dataset/electricity_hourly_dataset/electricity_hourly_dataset.tsf,train,3,706720,38,14322,96,96,1,mean,train_split_standard,-2.797202043,-2.776025149,1.570450473,0.359667531,0.099896136,0.091346773
electricity_hourly_dataset,electricity_hourly_dataset,Monash,tsf,dataset/Monash_Dataset/electricity_hourly_dataset/electricity_hourly_dataset.tsf,train,4,1949842,107,195,96,96,1,mean,train_split_standard,3.266421358,10.096841745,8.688109286,0.359667531,0.099896136,0.091346773
electricity_hourly_dataset,electricity_hourly_dataset,Monash,tsf,dataset/Monash_Dataset/electricity_hourly_dataset/electricity_hourly_dataset.tsf,train,5,5755902,315,16287,96,96,1,mean,train_split_standard,-1.055378292,0.266198570,3.819531070,0.359667531,0.099896136,0.091346773
kdd_cup_2018_dataset_without_missing_values,kdd_cup_2018_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/kdd_cup_2018_dataset_without_missing_values/kdd_cup_2018_dataset_without_missing_values.tsf,train,1,1083395,145,5030,96,96,1,mean,train_split_standard,-0.802710392,0.296622877,-0.123902612,0.359667531,0.099896136,0.091346773
kdd_cup_2018_dataset_without_missing_values,kdd_cup_2018_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/kdd_cup_2018_dataset_without_missing_values/kdd_cup_2018_dataset_without_missing_values.tsf,train,2,1375493,184,7085,96,96,1,mean,train_split_standard,-0.049914105,0.064152287,1.953637341,0.359667531,0.099896136,0.091346773
kdd_cup_2018_dataset_without_missing_values,kdd_cup_2018_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/kdd_cup_2018_dataset_without_missing_values/kdd_cup_2018_dataset_without_missing_values.tsf,train,3,60701,8,1205,96,96,1,mean,train_split_standard,1.738515338,-2.328501964,-1.245709760,0.359667531,0.099896136,0.091346773
kdd_cup_2018_dataset_without_missing_values,kdd_cup_2018_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/kdd_cup_2018_dataset_without_missing_values/kdd_cup_2018_dataset_without_missing_values.tsf,train,4,151040,20,2300,96,96,1,mean,train_split_standard,0.303306540,-1.501157423,0.521010157,0.359667531,0.099896136,0.091346773
kdd_cup_2018_dataset_without_missing_values,kdd_cup_2018_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/kdd_cup_2018_dataset_without_missing_values/kdd_cup_2018_dataset_without_missing_values.tsf,train,5,1287730,173,1129,96,96,1,mean,train_split_standard,0.633653779,-1.331898387,-1.135866552,0.359667531,0.099896136,0.091346773
oikolab_weather_dataset,oikolab_weather_dataset,Monash,tsf,dataset/Monash_Dataset/oikolab_weather_dataset/oikolab_weather_dataset.tsf,train,1,364168,5,14928,96,96,1,mean,train_split_standard,-0.676712314,-1.758617955,1.964176047,0.359667531,0.099896136,0.091346773
oikolab_weather_dataset,oikolab_weather_dataset,Monash,tsf,dataset/Monash_Dataset/oikolab_weather_dataset/oikolab_weather_dataset.tsf,train,2,337409,4,58017,96,96,1,mean,train_split_standard,-0.249791665,-0.393334337,2.605580458,0.359667531,0.099896136,0.091346773
oikolab_weather_dataset,oikolab_weather_dataset,Monash,tsf,dataset/Monash_Dataset/oikolab_weather_dataset/oikolab_weather_dataset.tsf,train,3,173599,2,33903,96,96,1,mean,train_split_standard,0.192845330,-3.513892786,1.659637877,0.359667531,0.099896136,0.091346773
oikolab_weather_dataset,oikolab_weather_dataset,Monash,tsf,dataset/Monash_Dataset/oikolab_weather_dataset/oikolab_weather_dataset.tsf,train,4,229573,3,20029,96,96,1,mean,train_split_standard,3.241700326,0.361382292,-1.521603764,0.359667531,0.099896136,0.091346773
oikolab_weather_dataset,oikolab_weather_dataset,Monash,tsf,dataset/Monash_Dataset/oikolab_weather_dataset/oikolab_weather_dataset.tsf,train,5,179891,2,40195,96,96,1,mean,train_split_standard,1.141976162,1.367577834,-0.896891186,0.359667531,0.099896136,0.091346773
pedestrian_counts_dataset,pedestrian_counts_dataset,Monash,tsf,dataset/Monash_Dataset/pedestrian_counts_dataset/pedestrian_counts_dataset.tsf,train,1,377040,5,59191,96,96,1,mean,train_split_standard,-2.153597700,-2.065669907,-0.432521775,0.359667531,0.099896136,0.091346773
pedestrian_counts_dataset,pedestrian_counts_dataset,Monash,tsf,dataset/Monash_Dataset/pedestrian_counts_dataset/pedestrian_counts_dataset.tsf,train,2,1032244,16,55725,96,96,1,mean,train_split_standard,-1.786529490,-1.712538849,-0.309136717,0.359667531,0.099896136,0.091346773
pedestrian_counts_dataset,pedestrian_counts_dataset,Monash,tsf,dataset/Monash_Dataset/pedestrian_counts_dataset/pedestrian_counts_dataset.tsf,train,3,1289061,22,30332,96,96,1,mean,train_split_standard,-1.507676665,-1.636102673,-0.068154421,0.359667531,0.099896136,0.091346773
pedestrian_counts_dataset,pedestrian_counts_dataset,Monash,tsf,dataset/Monash_Dataset/pedestrian_counts_dataset/pedestrian_counts_dataset.tsf,train,4,832308,13,12706,96,96,1,mean,train_split_standard,-3.675824186,0.372579716,-1.086623177,0.359667531,0.099896136,0.091346773
pedestrian_counts_dataset,pedestrian_counts_dataset,Monash,tsf,dataset/Monash_Dataset/pedestrian_counts_dataset/pedestrian_counts_dataset.tsf,train,5,2050144,49,9711,96,96,1,mean,train_split_standard,-0.928112852,-3.258840163,1.807067891,0.359667531,0.099896136,0.091346773
saugeenday_dataset,saugeenday_dataset,Monash,tsf,dataset/Monash_Dataset/saugeenday_dataset/saugeenday_dataset.tsf,train,1,10834,0,10834,96,96,1,mean,train_split_standard,-0.000033241,-0.294021846,-2.248013321,0.359667531,0.099896136,0.091346773
saugeenday_dataset,saugeenday_dataset,Monash,tsf,dataset/Monash_Dataset/saugeenday_dataset/saugeenday_dataset.tsf,train,2,4592,0,4592,96,96,1,mean,train_split_standard,-1.860496866,-1.341935896,-0.955870260,0.359667531,0.099896136,0.091346773
saugeenday_dataset,saugeenday_dataset,Monash,tsf,dataset/Monash_Dataset/saugeenday_dataset/saugeenday_dataset.tsf,train,3,8839,0,8839,96,96,1,mean,train_split_standard,1.018753977,-1.962258324,0.989135513,0.359667531,0.099896136,0.091346773
saugeenday_dataset,saugeenday_dataset,Monash,tsf,dataset/Monash_Dataset/saugeenday_dataset/saugeenday_dataset.tsf,train,4,7607,0,7607,96,96,1,mean,train_split_standard,0.260969542,-0.333059798,2.159940701,0.359667531,0.099896136,0.091346773
saugeenday_dataset,saugeenday_dataset,Monash,tsf,dataset/Monash_Dataset/saugeenday_dataset/saugeenday_dataset.tsf,train,5,4292,0,4292,96,96,1,mean,train_split_standard,0.252953838,0.109890362,-1.873643892,0.359667531,0.099896136,0.091346773
solar_10_minutes_dataset,solar_10_minutes_dataset,Monash,tsf,dataset/Monash_Dataset/solar_10_minutes_dataset/solar_10_minutes_dataset.tsf,train,1,1805251,49,11802,96,96,1,mean,train_split_standard,6.745306388,1.333653000,-2.403238583,0.359667531,0.099896136,0.091346773
solar_10_minutes_dataset,solar_10_minutes_dataset,Monash,tsf,dataset/Monash_Dataset/solar_10_minutes_dataset/solar_10_minutes_dataset.tsf,train,2,4869659,133,1726,96,96,1,mean,train_split_standard,5.159488685,1.226665518,-1.167237773,0.359667531,0.099896136,0.091346773
solar_10_minutes_dataset,solar_10_minutes_dataset,Monash,tsf,dataset/Monash_Dataset/solar_10_minutes_dataset/solar_10_minutes_dataset.tsf,train,3,1942317,53,2464,96,96,1,mean,train_split_standard,5.648233755,-1.109633448,0.621354113,0.359667531,0.099896136,0.091346773
solar_10_minutes_dataset,solar_10_minutes_dataset,Monash,tsf,dataset/Monash_Dataset/solar_10_minutes_dataset/solar_10_minutes_dataset.tsf,train,4,688306,18,29488,96,96,1,mean,train_split_standard,6.645733307,3.227952418,0.063485527,0.359667531,0.099896136,0.091346773
solar_10_minutes_dataset,solar_10_minutes_dataset,Monash,tsf,dataset/Monash_Dataset/solar_10_minutes_dataset/solar_10_minutes_dataset.tsf,train,5,1928397,52,25145,96,96,1,mean,train_split_standard,4.928180077,0.174625336,3.811730006,0.359667531,0.099896136,0.091346773
solar_4_seconds_dataset,solar_4_seconds_dataset,Monash,tsf,dataset/Monash_Dataset/solar_4_seconds_dataset/solar_4_seconds_dataset.tsf,train,1,2054005,0,2054005,96,96,1,mean,train_split_standard,-0.802710392,0.296622877,-0.123902612,0.359667531,0.099896136,0.091346773
solar_4_seconds_dataset,solar_4_seconds_dataset,Monash,tsf,dataset/Monash_Dataset/solar_4_seconds_dataset/solar_4_seconds_dataset.tsf,train,2,3282310,0,3282310,96,96,1,mean,train_split_standard,9.028991176,3.132984415,2.664490449,0.359667531,0.099896136,0.091346773
solar_4_seconds_dataset,solar_4_seconds_dataset,Monash,tsf,dataset/Monash_Dataset/solar_4_seconds_dataset/solar_4_seconds_dataset.tsf,train,3,957078,0,957078,96,96,1,mean,train_split_standard,-0.802710392,0.296622877,-0.123902612,0.359667531,0.099896136,0.091346773
solar_4_seconds_dataset,solar_4_seconds_dataset,Monash,tsf,dataset/Monash_Dataset/solar_4_seconds_dataset/solar_4_seconds_dataset.tsf,train,4,3672467,0,3672467,96,96,1,mean,train_split_standard,4.664948853,3.322005329,1.116354093,0.359667531,0.099896136,0.091346773
solar_4_seconds_dataset,solar_4_seconds_dataset,Monash,tsf,dataset/Monash_Dataset/solar_4_seconds_dataset/solar_4_seconds_dataset.tsf,train,5,3779290,0,3779290,96,96,1,mean,train_split_standard,4.168236170,0.827057127,0.237806291,0.359667531,0.099896136,0.091346773
sunspot_dataset_without_missing_values,sunspot_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/sunspot_dataset_without_missing_values/sunspot_dataset_without_missing_values.tsf,train,1,21558,0,21558,96,96,1,mean,train_split_standard,-1.240384790,-2.076551196,1.040272645,0.359667531,0.099896136,0.091346773
sunspot_dataset_without_missing_values,sunspot_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/sunspot_dataset_without_missing_values/sunspot_dataset_without_missing_values.tsf,train,2,28250,0,28250,96,96,1,mean,train_split_standard,-1.434129294,-2.150830571,0.256038215,0.359667531,0.099896136,0.091346773
sunspot_dataset_without_missing_values,sunspot_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/sunspot_dataset_without_missing_values/sunspot_dataset_without_missing_values.tsf,train,3,42021,0,42021,96,96,1,mean,train_split_standard,-0.011883329,-1.419434324,2.282990075,0.359667531,0.099896136,0.091346773
sunspot_dataset_without_missing_values,sunspot_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/sunspot_dataset_without_missing_values/sunspot_dataset_without_missing_values.tsf,train,4,3147,0,3147,96,96,1,mean,train_split_standard,-1.621656877,0.157797716,-1.878402105,0.359667531,0.099896136,0.091346773
sunspot_dataset_without_missing_values,sunspot_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/sunspot_dataset_without_missing_values/sunspot_dataset_without_missing_values.tsf,train,5,30879,0,30879,96,96,1,mean,train_split_standard,-0.168678348,0.217672715,-0.893866998,0.359667531,0.099896136,0.091346773
traffic_hourly_dataset,traffic_hourly_dataset,Monash,tsf,dataset/Monash_Dataset/traffic_hourly_dataset/traffic_hourly_dataset.tsf,train,1,1485012,122,10154,96,96,1,mean,train_split_standard,-1.530843389,-1.955779786,0.635898465,0.359667531,0.099896136,0.091346773
traffic_hourly_dataset,traffic_hourly_dataset,Monash,tsf,dataset/Monash_Dataset/traffic_hourly_dataset/traffic_hourly_dataset.tsf,train,2,7032304,581,8595,96,96,1,mean,train_split_standard,-0.723017792,-3.118225661,1.779089383,0.359667531,0.099896136,0.091346773
traffic_hourly_dataset,traffic_hourly_dataset,Monash,tsf,dataset/Monash_Dataset/traffic_hourly_dataset/traffic_hourly_dataset.tsf,train,3,7305543,604,3787,96,96,1,mean,train_split_standard,-2.233085182,-0.287505151,1.810027001,0.359667531,0.099896136,0.091346773
traffic_hourly_dataset,traffic_hourly_dataset,Monash,tsf,dataset/Monash_Dataset/traffic_hourly_dataset/traffic_hourly_dataset.tsf,train,4,3102404,256,7620,96,96,1,mean,train_split_standard,-1.073418400,-2.870671934,1.026407160,0.359667531,0.099896136,0.091346773
traffic_hourly_dataset,traffic_hourly_dataset,Monash,tsf,dataset/Monash_Dataset/traffic_hourly_dataset/traffic_hourly_dataset.tsf,train,5,2163242,178,11400,96,96,1,mean,train_split_standard,-1.732531321,-0.172558782,2.784015576,0.359667531,0.099896136,0.091346773
us_births_dataset,us_births_dataset,Monash,tsf,dataset/Monash_Dataset/us_births_dataset/us_births_dataset.tsf,train,1,2476,0,2476,96,96,1,mean,train_split_standard,-5.266075659,1.564654569,0.696464397,0.359667531,0.099896136,0.091346773
us_births_dataset,us_births_dataset,Monash,tsf,dataset/Monash_Dataset/us_births_dataset/us_births_dataset.tsf,train,2,2676,0,2676,96,96,1,mean,train_split_standard,-4.612460453,2.782133051,-0.009025784,0.359667531,0.099896136,0.091346773
us_births_dataset,us_births_dataset,Monash,tsf,dataset/Monash_Dataset/us_births_dataset/us_births_dataset.tsf,train,3,1539,0,1539,96,96,1,mean,train_split_standard,-4.876808281,2.038064464,0.206853003,0.359667531,0.099896136,0.091346773
us_births_dataset,us_births_dataset,Monash,tsf,dataset/Monash_Dataset/us_births_dataset/us_births_dataset.tsf,train,4,1392,0,1392,96,96,1,mean,train_split_standard,-4.994613500,2.194201442,0.504668238,0.359667531,0.099896136,0.091346773
us_births_dataset,us_births_dataset,Monash,tsf,dataset/Monash_Dataset/us_births_dataset/us_births_dataset.tsf,train,5,2048,0,2048,96,96,1,mean,train_split_standard,-4.745899213,2.497715358,1.178963442,0.359667531,0.099896136,0.091346773
