dataset,data_path,split,sample_rank,sample_index,seq_len,pred_len,n_channels,pooling,scale,mode_5,mode_10,acf_timescale,acf_first_min,ami2,trev,high_fluctuation,stretch_high,transition_matrix,periodicity,embedding_dist,ami_timescale,whiten_timescale,outlier_timing_pos,outlier_timing_neg,centroid_freq,stretch_decreasing,entropy_pairs,rs_range,dfa,low_freq_power,forecast_error
ETT-small,dataset/ETT-small/ETTh1.csv,val,25,1397,96,96,7,mean,train_split_standard,0.410690382,0.305676973,8.505910114,14.571428571,0.497213764,-0.025438759,0.912781955,22.285714286,0.046835454,19.857142857,0.364442600,8.285714286,0.137580673,0.183035714,-0.395833333,0.895304001,7.714285714,1.704675240,0.669387755,0.502040816,0.182324574,0.563248784
ETT-small,dataset/ETT-small/ETTh1.csv,val,26,2558,96,96,7,mean,train_split_standard,0.095029371,0.013721152,3.687361635,9.142857143,0.385793939,0.009762250,0.884210526,17.714285714,0.034923992,20.428571429,0.382895351,4.714285714,0.550523286,0.284970238,-0.388392857,0.854325722,6.571428571,1.778640787,0.624489796,0.542857143,0.294524311,0.731034463
ETT-small,dataset/ETT-small/ETTh1.csv,val,27,1139,96,96,7,mean,train_split_standard,0.004143239,-0.033995312,4.230269104,10.142857143,0.347224253,0.055564040,0.908270677,20.142857143,0.027292821,22.714285714,0.289248258,6.000000000,0.197363946,0.221726190,-0.325892857,0.846443063,6.857142857,1.813247351,0.485714286,0.473469388,0.245436926,0.684739571
ETT-small,dataset/ETT-small/ETTh1.csv,val,28,2268,96,96,7,mean,train_split_standard,0.354307322,0.696222597,6.792372050,17.571428571,0.435078790,-0.029472825,0.873684211,23.428571429,0.040748472,22.857142857,0.254838957,8.000000000,0.199263118,-0.055059524,0.221726190,0.823631348,6.000000000,1.719164822,0.653061224,0.538775510,0.238424442,0.664075383
ETT-small,dataset/ETT-small/ETTh1.csv,val,29,1199,96,96,7,mean,train_split_standard,0.111210757,0.157282737,4.652746662,12.285714286,0.410787816,0.012258012,0.920300752,18.714285714,0.033047807,19.857142857,0.289102560,7.857142857,0.113467609,-0.537202381,0.041666667,0.845089499,6.428571429,1.753400598,0.526530612,0.510204082,0.217386992,0.654401498
ETT-small,dataset/ETT-small/ETTh1.csv,val,30,1800,96,96,7,mean,train_split_standard,0.127838822,0.051291222,2.972374180,8.714285714,0.251177956,-0.004983905,0.903759398,12.857142857,0.012997586,20.428571429,0.227821565,4.142857143,0.368027211,0.001488095,0.055059524,0.770017875,5.714285714,1.885617844,0.485714286,0.387755102,0.378674114,0.822311144
ETT-small,dataset/ETT-small/ETTh1.csv,val,31,1609,96,96,7,mean,train_split_standard,-0.570514230,-0.477750543,12.134597585,29.000000000,0.561924376,-0.136011496,0.670676692,26.571428571,0.069523810,15.571428571,0.442278312,8.571428571,0.270783009,-0.636160714,0.116815476,0.896285643,7.571428571,1.554129885,0.461224490,0.685714286,0.105187254,0.445171588
ETT-small,dataset/ETT-small/ETTh1.csv,val,32,1703,96,96,7,mean,train_split_standard,-0.003375186,0.170363206,3.494425865,10.857142857,0.302089682,0.209693692,0.875187970,13.571428571,0.031775830,21.285714286,0.184930933,5.142857143,0.189177489,-0.034226190,0.154761905,0.764667605,7.000000000,1.801899035,0.477551020,0.334693878,0.322574246,0.744914142
ETT-small,dataset/ETT-small/ETTh1.csv,val,33,318,96,96,7,mean,train_split_standard,0.081223725,0.148844188,3.548192866,8.142857143,0.294380847,0.010312273,0.933834586,14.285714286,0.029298588,14.714285714,0.199164469,4.285714286,0.146031746,-0.248511905,-0.169642857,0.766430157,6.857142857,1.889080831,0.653061224,0.428571429,0.329586729,0.770391489
ETT-small,dataset/ETT-small/ETTh1.csv,val,34,555,96,96,7,mean,train_split_standard,-0.013803282,0.063027563,2.994873120,7.428571429,0.296427426,0.007946978,0.944360902,14.714285714,0.025160831,17.000000000,0.250937037,3.714285714,0.403641457,0.226190476,-0.232142857,0.760967337,7.000000000,1.821483756,0.546938776,0.551020408,0.371661631,0.798458480
ETT-small,dataset/ETT-small/ETTh1.csv,val,35,2284,96,96,7,mean,train_split_standard,0.302109254,0.367493715,6.675569748,17.571428571,0.436537732,-0.018811130,0.840601504,22.571428571,0.056745143,23.428571429,0.284902208,9.714285714,0.179523472,0.022321429,0.333333333,0.841900465,6.428571429,1.724093999,0.412244898,0.677551020,0.231411959,0.642967377
ETT-small,dataset/ETT-small/ETTh1.csv,val,36,2756,96,96,7,mean,train_split_standard,-0.177388215,-0.449468112,3.755660289,10.714285714,0.327050325,0.070474808,0.923308271,14.571428571,0.026904197,19.714285714,0.263523151,6.285714286,0.315054718,0.004464286,0.194940476,0.796742109,6.571428571,1.785841856,0.677551020,0.416326531,0.287511828,0.744472838
ETT-small,dataset/ETT-small/ETTh1.csv,val,37,2420,96,96,7,mean,train_split_standard,0.072828884,-0.149269561,5.201063607,8.285714286,0.311399241,0.156228594,0.888721805,18.714285714,0.032799224,20.714285714,0.217758244,5.142857143,0.168027211,-0.250000000,0.122023810,0.788307871,6.285714286,1.768766615,0.644897959,0.530612245,0.266474377,0.708952380
ETT-small,dataset/ETT-small/ETTh1.csv,val,38,1504,96,96,7,mean,train_split_standard,0.240047154,0.226672298,6.857501210,15.000000000,0.455943566,0.016103783,0.912781955,22.714285714,0.052010582,22.714285714,0.295865476,10.428571429,0.275095785,-0.412202381,0.305059524,0.864000721,7.857142857,1.749673486,0.706122449,0.444897959,0.161287123,0.606972511
ETT-small,dataset/ETT-small/ETTh1.csv,val,39,1283,96,96,7,mean,train_split_standard,0.177442512,0.042173008,4.468047661,9.857142857,0.355727115,-0.026231548,0.911278195,20.142857143,0.059819041,18.857142857,0.284801021,6.571428571,0.370397938,0.438988095,-0.351190476,0.824659804,6.571428571,1.775910228,0.436734694,0.563265306,0.238424442,0.700114416
ETT-small,dataset/ETT-small/ETTh1.csv,val,40,1371,96,96,7,mean,train_split_standard,0.186889591,0.087594323,9.006625033,15.142857143,0.521217799,-0.026471639,0.890225564,29.142857143,0.051669606,17.142857143,0.342358596,8.428571429,0.103437164,0.343005952,-0.209821429,0.901405888,7.000000000,1.714874559,0.600000000,0.542857143,0.168299606,0.551863099
ETT-small,dataset/ETT-small/ETTh1.csv,val,41,1591,96,96,7,mean,train_split_standard,-0.403111957,-0.350381046,11.952360271,28.000000000,0.583422345,-0.025345455,0.828571429,28.428571429,0.092764785,14.000000000,0.526144347,9.142857143,0.236957572,-0.349702381,0.259672619,0.891777042,8.000000000,1.659335334,0.706122449,0.538775510,0.140249672,0.491395669
ETT-small,dataset/ETT-small/ETTh1.csv,val,42,497,96,96,7,mean,train_split_standard,-0.073364930,0.175855893,5.283991451,14.000000000,0.347874725,-0.046691575,0.912781955,19.000000000,0.034931279,19.285714286,0.249791463,7.714285714,0.354948431,0.269345238,-0.035714286,0.784110900,7.000000000,1.829073070,0.526530612,0.461224490,0.343611696,0.720893663
ETT-small,dataset/ETT-small/ETTh1.csv,val,43,1160,96,96,7,mean,train_split_standard,0.005742306,0.071205982,4.651360935,12.428571429,0.386862156,0.043173645,0.914285714,20.571428571,0.031243292,22.714285714,0.288885473,7.000000000,0.242800454,-0.097470238,0.357142857,0.870642065,6.857142857,1.775201913,0.628571429,0.530612245,0.238424442,0.656213258
ETT-small,dataset/ETT-small/ETTh1.csv,val,44,2532,96,96,7,mean,train_split_standard,-0.128193706,-0.204899530,4.017411746,9.857142857,0.383439153,0.030627843,0.876691729,18.000000000,0.044789410,21.000000000,0.390229138,6.428571429,0.308774962,0.367559524,-0.275297619,0.846796366,6.857142857,1.772671271,0.595918367,0.375510204,0.287511828,0.676297425
ETT-small,dataset/ETT-small/ETTh1.csv,val,45,2627,96,96,7,mean,train_split_standard,-0.043363288,-0.091232626,5.649213426,15.857142857,0.381689011,0.021085239,0.893233083,16.428571429,0.052923591,22.857142857,0.429164754,10.142857143,0.234900598,-0.508184524,-0.031250000,0.817881022,7.714285714,1.746648484,0.408163265,0.534693878,0.266474377,0.621065901
ETT-small,dataset/ETT-small/ETTh1.csv,val,46,1597,96,96,7,mean,train_split_standard,-0.452739627,-0.451167088,13.090932888,29.857142857,0.592297150,-0.019515137,0.775939850,27.857142857,0.109100529,16.428571429,0.530458887,6.714285714,0.294308023,-0.449404762,0.273809524,0.877886169,7.857142857,1.645406704,0.665306122,0.628571429,0.126224705,0.481021539
ETT-small,dataset/ETT-small/ETTh1.csv,val,47,1906,96,96,7,mean,train_split_standard,0.402892754,0.212930698,2.982070507,8.857142857,0.272216979,-0.086834201,0.908270677,13.571428571,0.010439459,17.142857143,0.221314832,4.000000000,0.446938776,0.084821429,0.193452381,0.756038597,6.857142857,1.879294534,0.367346939,0.473469388,0.406724049,0.809647541
ETT-small,dataset/ETT-small/ETTh1.csv,val,48,105,96,96,7,mean,train_split_standard,-0.054755096,-0.038971259,4.412868557,9.714285714,0.334588062,0.013720143,0.935338346,15.857142857,0.031057459,19.142857143,0.313934991,5.857142857,0.329004329,-0.235119048,0.186011905,0.825430937,7.000000000,1.822501581,0.575510204,0.575510204,0.252449410,0.693564795
ETT-small,dataset/ETT-small/ETTh1.csv,val,49,1859,96,96,7,mean,train_split_standard,0.342475457,0.128382921,2.945599909,9.285714286,0.288047739,-0.051129610,0.890225564,14.571428571,0.013459064,15.571428571,0.195736700,4.000000000,0.383333333,0.000000000,-0.031250000,0.768756491,5.857142857,1.852804166,0.436734694,0.359183673,0.399711565,0.831427387
ETT-small,dataset/ETT-small/ETTh1.csv,val,50,1684,96,96,7,mean,train_split_standard,0.079352829,-0.203559250,3.727070401,11.000000000,0.392750206,0.129611129,0.712781955,20.000000000,0.025101347,20.714285714,0.162703031,6.428571429,0.134528963,-0.087797619,-0.050595238,0.788067857,6.714285714,1.702175580,0.436734694,0.722448980,0.301536795,0.738827170
exchange_rate,dataset/exchange_rate/exchange_rate.csv,val,1,635,96,96,8,mean,train_split_standard,-0.217313295,-0.156130554,8.251359722,22.000000000,0.499402222,-0.010759367,0.855263158,24.250000000,0.072277319,17.375000000,0.622923669,12.000000000,0.108535354,0.017578125,0.410156250,0.843712307,7.875000000,1.766885407,0.446428571,0.635714286,0.159534002,0.493964485
exchange_rate,dataset/exchange_rate/exchange_rate.csv,val,2,242,96,96,8,mean,train_split_standard,0.075687214,0.014678453,10.993524934,31.000000000,0.627670078,-0.013782692,0.743421053,24.625000000,0.079934571,20.625000000,0.558453716,16.625000000,0.084755024,0.333333333,-0.338541667,0.902801011,5.375000000,1.632667997,0.810714286,0.632142857,0.092038847,0.453399648
exchange_rate,dataset/exchange_rate/exchange_rate.csv,val,3,468,96,96,8,mean,train_split_standard,0.408773291,0.451618417,13.149168855,36.625000000,0.722009742,-0.015797001,0.744736842,45.250000000,0.116145833,8.125000000,0.555035547,15.375000000,0.047287479,0.031901042,0.427083333,0.945216179,5.625000000,1.595191249,0.789285714,0.710714286,0.079767001,0.333018214
exchange_rate,dataset/exchange_rate/exchange_rate.csv,val,4,524,96,96,8,mean,train_split_standard,-0.488469762,-0.319851549,9.331735099,19.125000000,0.605589439,-0.084831945,0.811842105,22.875000000,0.092545010,3.250000000,0.455314003,13.875000000,0.055224228,-0.501953125,0.236328125,0.892004305,6.000000000,1.667150503,0.750000000,0.614285714,0.116582540,0.437072410
exchange_rate,dataset/exchange_rate/exchange_rate.csv,val,5,395,96,96,8,mean,train_split_standard,0.168405626,0.058066085,9.545086739,20.375000000,0.537604914,0.028093720,0.789473684,28.875000000,0.085520833,6.875000000,0.589729119,14.750000000,0.072380759,0.204427083,-0.329427083,0.858187418,5.000000000,1.669235285,0.792857143,0.496428571,0.110446617,0.464688164
exchange_rate,dataset/exchange_rate/exchange_rate.csv,val,6,320,96,96,8,mean,train_split_standard,-0.308373681,-0.338947047,13.200235228,38.000000000,0.707235228,-0.004431250,0.701315789,28.625000000,0.110243056,19.500000000,0.900353288,13.250000000,0.083726047,0.768229167,-0.414062500,0.911373469,4.625000000,1.523116680,0.657142857,0.689285714,0.073631078,0.331353149
exchange_rate,dataset/exchange_rate/exchange_rate.csv,val,7,245,96,96,8,mean,train_split_standard,0.446032835,0.280579693,11.372911858,26.750000000,0.629169643,-0.021023350,0.753947368,26.625000000,0.092485591,19.000000000,0.548174805,13.625000000,0.083370779,0.455078125,-0.396484375,0.901806735,5.125000000,1.642616151,0.782142857,0.639285714,0.098174770,0.463224904
exchange_rate,dataset/exchange_rate/exchange_rate.csv,val,8,607,96,96,8,mean,train_split_standard,0.605802303,0.396372374,12.900020753,25.000000000,0.640145057,-0.048831304,0.825000000,37.500000000,0.067858988,18.500000000,0.728714523,18.000000000,0.055163240,0.110677083,-0.548177083,0.897919840,5.625000000,1.683397686,0.657142857,0.610714286,0.092038847,0.378895419
exchange_rate,dataset/exchange_rate/exchange_rate.csv,val,9,164,96,96,8,mean,train_split_standard,0.330810289,0.225237697,16.848148315,48.500000000,0.864593721,-0.002482467,0.726315789,40.625000000,0.148148148,25.000000000,0.940708736,18.750000000,0.030882916,0.545572917,-0.731770833,0.945449657,5.250000000,1.467992059,0.789285714,0.667857143,0.049087385,0.269190514
exchange_rate,dataset/exchange_rate/exchange_rate.csv,val,10,241,96,96,8,mean,train_split_standard,0.001946139,0.018826015,10.842186971,29.250000000,0.630664401,-0.010451992,0.738157895,24.125000000,0.082485591,20.500000000,0.569680067,14.875000000,0.084725658,0.199218750,-0.319010417,0.902246346,5.375000000,1.633630074,0.792857143,0.607142857,0.092038847,0.449601454
exchange_rate,dataset/exchange_rate/exchange_rate.csv,val,11,202,96,96,8,mean,train_split_standard,-0.142931050,0.030190164,7.229726751,23.000000000,0.500866555,0.026838611,0.775000000,23.250000000,0.059068300,24.250000000,0.443268166,13.375000000,0.100351002,0.163411458,0.036458333,0.857740467,5.000000000,1.690268040,0.607142857,0.653571429,0.147262156,0.509305279
exchange_rate,dataset/exchange_rate/exchange_rate.csv,val,12,622,96,96,8,mean,train_split_standard,0.215008359,-0.077283940,8.663074624,21.250000000,0.515118675,0.030656988,0.846052632,26.125000000,0.061671804,14.250000000,0.631614480,14.375000000,0.078232526,0.145833333,-0.446614583,0.876251370,5.625000000,1.750525883,0.771428571,0.417857143,0.147262156,0.435540498
exchange_rate,dataset/exchange_rate/exchange_rate.csv,val,13,116,96,96,8,mean,train_split_standard,-0.034291142,0.005576817,12.887713767,29.625000000,0.745702810,0.002093666,0.735526316,29.875000000,0.108333333,16.875000000,0.930159280,15.875000000,0.171444436,0.746093750,-0.488281250,0.907736573,5.000000000,1.552151405,0.735714286,0.617857143,0.079767001,0.323607330
exchange_rate,dataset/exchange_rate/exchange_rate.csv,val,14,473,96,96,8,mean,train_split_standard,0.536880246,0.456143248,13.952673659,36.250000000,0.745031175,-0.013444371,0.755263158,47.250000000,0.109166667,8.125000000,0.561367314,15.625000000,0.043929570,-0.021484375,0.346354167,0.939223639,5.625000000,1.637161727,0.696428571,0.792857143,0.067495155,0.329659816
exchange_rate,dataset/exchange_rate/exchange_rate.csv,val,15,521,96,96,8,mean,train_split_standard,-0.523142739,-0.379541209,9.810328338,20.000000000,0.617663005,-0.080835379,0.828947368,24.375000000,0.088260995,3.250000000,0.464215732,14.500000000,0.050410988,-0.473958333,0.273437500,0.892978630,6.000000000,1.683508158,0.692857143,0.671428571,0.098174770,0.436188378
exchange_rate,dataset/exchange_rate/exchange_rate.csv,val,16,149,96,96,8,mean,train_split_standard,-0.407219813,-0.070051534,18.589195514,45.875000000,0.856955758,0.001064805,0.713157895,38.125000000,0.148148148,16.375000000,1.066738205,22.000000000,0.039467603,0.684895833,-0.590494792,0.940243197,5.000000000,1.466060064,0.735714286,0.625000000,0.049087385,0.262661474
exchange_rate,dataset/exchange_rate/exchange_rate.csv,val,17,281,96,96,8,mean,train_split_standard,0.204699573,0.293665191,10.362787990,28.250000000,0.589134462,-0.016491503,0.739473684,32.500000000,0.097754428,18.750000000,0.632054102,11.875000000,0.079064051,0.557291667,-0.447916667,0.898427050,4.750000000,1.641138004,0.717857143,0.521428571,0.104310694,0.432770863
exchange_rate,dataset/exchange_rate/exchange_rate.csv,val,18,305,96,96,8,mean,train_split_standard,-0.296480365,-0.030193053,10.425319152,20.625000000,0.659620934,-0.005217726,0.732894737,25.125000000,0.094482060,22.000000000,0.674383650,12.625000000,0.083444791,0.722656250,-0.415364583,0.901184470,4.625000000,1.562075547,0.535714286,0.646428571,0.085902924,0.390555029
exchange_rate,dataset/exchange_rate/exchange_rate.csv,val,19,0,96,96,8,mean,train_split_standard,0.424132707,0.619524589,14.683428809,34.250000000,0.652769822,-0.041129802,0.726315789,40.625000000,0.088252315,16.375000000,0.755356113,21.000000000,0.081952543,-0.119791667,0.617187500,0.911915195,5.000000000,1.564678073,0.803571429,0.707142857,0.079767001,0.395640485
exchange_rate,dataset/exchange_rate/exchange_rate.csv,val,20,438,96,96,8,mean,train_split_standard,-0.374731820,-0.350168469,14.008895586,37.875000000,0.685394745,-0.005665393,0.747368421,32.125000000,0.098622685,18.125000000,0.551105490,16.250000000,0.056850681,0.524739583,-0.186848958,0.923259084,4.625000000,1.595683716,0.642857143,0.692857143,0.079767001,0.379422061
exchange_rate,dataset/exchange_rate/exchange_rate.csv,val,21,285,96,96,8,mean,train_split_standard,0.162181228,0.237462165,10.951418832,23.375000000,0.572784277,-0.015865697,0.740789474,30.125000000,0.094916208,11.750000000,0.597533407,10.125000000,0.086130696,0.537760417,-0.458984375,0.886183074,4.750000000,1.641262416,0.500000000,0.660714286,0.116582540,0.444461013
exchange_rate,dataset/exchange_rate/exchange_rate.csv,val,22,313,96,96,8,mean,train_split_standard,-0.142826952,-0.197071604,11.600242030,28.125000000,0.701614787,-0.001930321,0.711842105,27.125000000,0.114520319,12.750000000,0.752184570,11.750000000,0.080659253,0.766927083,-0.379557292,0.898913608,4.625000000,1.543583263,0.675000000,0.721428571,0.085902924,0.375604194
exchange_rate,dataset/exchange_rate/exchange_rate.csv,val,23,221,96,96,8,mean,train_split_standard,-0.089330926,-0.090753014,8.304309564,25.500000000,0.538203863,-0.004532430,0.764473684,25.125000000,0.057915958,19.375000000,0.480711709,15.625000000,0.083699981,0.227864583,-0.000651042,0.899137896,5.375000000,1.621250177,0.732142857,0.660714286,0.122718463,0.489595781
exchange_rate,dataset/exchange_rate/exchange_rate.csv,val,24,540,96,96,8,mean,train_split_standard,-0.048540210,0.010318593,7.252780098,14.875000000,0.497368742,-0.099350666,0.869736842,20.250000000,0.064643264,10.000000000,0.357730304,8.625000000,0.087108108,-0.440104167,0.024739583,0.843627606,5.375000000,1.702422478,0.635714286,0.600000000,0.165669925,0.548273432
