centroid_id,dataset,family,source_format,source_path,sample_count,pc1,pc2,pc1_explained_ratio,pc2_explained_ratio
D36,Monash__electricity_hourly_dataset,Monash,tsf,dataset/Monash_Dataset/electricity_hourly_dataset/electricity_hourly_dataset.tsf,5,2.051918633,-3.187728768,0.444258344,0.109319379
D37,TIME__NE_China_Wind__H,TIME,arrow,dataset/Time_Dataset/NE_China_Wind/H/data-00000-of-00001.arrow,5,-3.075240095,-0.742354227,0.444258344,0.109319379
D38,TIME__MetroPT-3__5T,TIME,arrow,dataset/Time_Dataset/MetroPT-3/5T/data-00000-of-00001.arrow,5,4.682259684,1.584912882,0.444258344,0.109319379
D39,ETT-small,Benchmark,csv,dataset/ETT-small/ETTh1.csv,5,2.157707903,-0.944920913,0.444258344,0.109319379
D40,Monash__solar_4_seconds_dataset,Monash,tsf,dataset/Monash_Dataset/solar_4_seconds_dataset/solar_4_seconds_dataset.tsf,5,0.885721541,0.225347560,0.444258344,0.109319379
D41,Monash__solar_10_minutes_dataset,Monash,tsf,dataset/Monash_Dataset/solar_10_minutes_dataset/solar_10_minutes_dataset.tsf,5,-7.640462414,0.565437818,0.444258344,0.109319379
D42,TIME__Australia_Solar__H,TIME,arrow,dataset/Time_Dataset/Australia_Solar/H/data-00000-of-00001.arrow,5,0.462308595,-3.713783905,0.444258344,0.109319379
D43,TIME__Crypto__D,TIME,arrow,dataset/Time_Dataset/Crypto/D/data-00000-of-00001.arrow,5,-3.638527146,0.439403936,0.444258344,0.109319379
D44,Monash__wind_4_seconds_dataset,Monash,tsf,dataset/Monash_Dataset/wind_4_seconds_dataset/wind_4_seconds_dataset.tsf,5,-4.868744611,-0.000771598,0.444258344,0.109319379
D45,traffic,Benchmark,csv,dataset/traffic/traffic.csv,5,1.681237870,-2.543987198,0.444258344,0.109319379
D46,TIME__OpenElectricity_NEM__5T,TIME,arrow,dataset/Time_Dataset/OpenElectricity_NEM/5T/data-00000-of-00001.arrow,5,-3.136241774,1.201773034,0.444258344,0.109319379
D47,TIME__current_velocity__10T,TIME,arrow,dataset/Time_Dataset/current_velocity/10T/data-00000-of-00001.arrow,5,-0.166659477,0.971578193,0.444258344,0.109319379
D48,weather,Benchmark,csv,dataset/weather/weather.csv,5,-5.228568629,0.726761264,0.444258344,0.109319379
D49,TIME__CPHL__30T,TIME,arrow,dataset/Time_Dataset/CPHL/30T/data-00000-of-00001.arrow,5,2.073201083,1.892682080,0.444258344,0.109319379
D50,Monash__us_births_dataset,Monash,tsf,dataset/Monash_Dataset/us_births_dataset/us_births_dataset.tsf,5,6.137711909,0.026027997,0.444258344,0.109319379
D51,TIME__Water_Quality_Darwin__15T,TIME,arrow,dataset/Time_Dataset/Water_Quality_Darwin/15T/data-00000-of-00001.arrow,5,-2.400991775,0.209697048,0.444258344,0.109319379
D52,TIME__current_velocity__15T,TIME,arrow,dataset/Time_Dataset/current_velocity/15T/data-00000-of-00001.arrow,5,-1.136517925,0.160723932,0.444258344,0.109319379
D53,Monash__wind_farms_minutely_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/wind_farms_minutely_dataset_without_missing_values/wind_farms_minutely_dataset_without_missing_values.tsf,5,-0.962416238,-0.222130865,0.444258344,0.109319379
