centroid_id,dataset,family,source_format,source_path,sample_count,mode_5,mode_10,acf_timescale,acf_first_min,ami2,trev,high_fluctuation,stretch_high,transition_matrix,periodicity,embedding_dist,ami_timescale,whiten_timescale,outlier_timing_pos,outlier_timing_neg,centroid_freq,stretch_decreasing,entropy_pairs,rs_range,dfa,low_freq_power,forecast_error
D11,TIME__epf_electricity_price__H,TIME,arrow,dataset/Time_Dataset/epf_electricity_price/H/data-00000-of-00001.arrow,5,-0.132324261,-0.396308700,3.966747366,8.800000000,0.370833259,0.180269546,0.880000000,16.200000000,0.035036240,15.800000000,0.331405105,5.600000000,0.394871795,0.310416667,-0.120833333,0.863646922,9.800000000,1.725284087,0.668571429,0.400000000,0.304341788,0.718326997
D12,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,5,-0.370570592,-0.487811091,5.533296152,10.800000000,0.416510869,0.022205839,0.783157895,15.200000000,0.069592593,15.400000000,0.256238965,7.400000000,0.096626984,0.104166667,-0.094791667,0.767672440,6.200000000,1.779084499,0.725714286,0.537142857,0.225801972,0.704429064
D13,Monash__sunspot_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/sunspot_dataset_without_missing_values/sunspot_dataset_without_missing_values.tsf,5,-0.315532171,-0.538146618,3.687778613,11.600000000,0.276870003,-0.030246592,0.757894737,16.600000000,0.029385265,23.000000000,0.227779620,6.800000000,0.107864358,0.063541667,0.137500000,0.742304362,5.000000000,1.787661959,0.771428571,0.548571429,0.294524311,0.758885944
D14,TIME__current_velocity__20T,TIME,arrow,dataset/Time_Dataset/current_velocity/20T/data-00000-of-00001.arrow,5,0.072781390,0.130231414,7.619179712,18.333333333,0.540541383,-0.094554703,0.875789474,23.566666667,0.052182738,4.900000000,0.637510069,10.300000000,0.380498425,-0.058506944,-0.006944444,0.824852057,7.100000000,1.708531666,0.636190476,0.626666667,0.243800680,0.537406565
D15,TIME__SG_Carpark__15T,TIME,arrow,dataset/Time_Dataset/SG_Carpark/15T/data-00000-of-00001.arrow,5,0.178180766,-0.775231829,16.867673343,45.200000000,0.941731764,0.000469388,0.671578947,44.200000000,0.081944444,11.600000000,2.040834194,25.600000000,0.760875471,0.050000000,0.068750000,0.974732497,11.000000000,1.378431136,0.817142857,0.588571429,0.068722339,0.182593670
D16,TIME__azure2019_I__5T,TIME,arrow,dataset/Time_Dataset/azure2019_I/5T/data-00000-of-00001.arrow,5,-0.141642867,-0.109027640,3.402057930,4.866666667,0.167894463,-0.396969107,0.889122807,14.466666667,0.016931650,5.800000000,0.090256535,2.466666667,0.329691169,0.213194444,-0.009722222,0.466665699,4.733333333,2.073278026,0.510476190,0.617142857,0.899935396,0.930896063
D17,TIME__US_Term_Structure__B,TIME,arrow,dataset/Time_Dataset/US_Term_Structure/B/data-00000-of-00001.arrow,5,-0.021428299,-0.034754902,15.113836732,45.625000000,0.785276913,-0.000114940,0.841157895,35.825000000,0.108777778,16.330000000,1.109796108,21.315000000,0.121523505,0.067994792,0.167760417,0.942471309,8.205000000,1.566812336,0.770000000,0.649000000,0.063813601,0.293953476
D18,TIME__current_velocity__H,TIME,arrow,dataset/Time_Dataset/current_velocity/H/data-00000-of-00001.arrow,5,0.046785267,0.077109151,6.932745427,19.866666667,0.431686927,-0.046886778,0.883859649,21.533333333,0.051497906,15.133333333,0.501040304,8.500000000,0.391943111,-0.150173611,0.079166667,0.809218435,7.700000000,1.757196268,0.515238095,0.544761905,0.335430466,0.688603009
D19,Monash__weather_dataset,Monash,tsf,dataset/Monash_Dataset/weather_dataset/weather_dataset.tsf,5,-0.089104513,-0.236284259,3.740072587,4.200000000,0.169288217,-0.353040511,0.903157895,11.000000000,0.056950627,7.400000000,0.112861111,2.600000000,0.252072072,0.108333333,-0.047916667,0.442842897,5.200000000,2.012963675,0.537142857,0.628571429,0.746128255,0.986336882
D20,TIME__azure2019_D__5T,TIME,arrow,dataset/Time_Dataset/azure2019_D/5T/data-00000-of-00001.arrow,5,-0.359849579,-0.479223375,0.844599697,2.800000000,0.119434478,0.343628741,0.971228070,6.800000000,0.013104747,5.466666667,0.086939776,2.666666667,0.643817204,0.022222222,0.071180556,0.221647712,4.200000000,2.114689533,0.558095238,0.577142857,1.518436449,1.117093467
D21,TIME__SG_PM25__H,TIME,arrow,dataset/Time_Dataset/SG_PM25/H/data-00000-of-00001.arrow,5,-0.270686675,-0.381083551,2.204529103,5.440000000,0.157991010,-0.045765161,0.873263158,12.080000000,0.028989864,9.960000000,0.134156831,3.440000000,0.159278222,-0.051875000,-0.108958333,0.520281616,5.880000000,1.989819528,0.505142857,0.632000000,0.587085127,0.957326748
D22,Monash__anonymous_public_pv_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_pv_power_data_per_unit/*.rds,5,-0.223614047,-0.211681737,9.928385540,18.600000000,0.623314142,-0.004463780,0.712177412,29.608818463,0.086349777,5.400000000,0.794431673,8.088481984,0.174425580,-0.107218528,0.351706922,0.806940568,6.875913892,1.650990523,0.714740622,0.698865066,0.172456653,0.481078611
D23,illness,Benchmark,csv,dataset/illness/national_illness.csv,5,-0.130135482,-0.440638627,6.291246815,22.371428571,0.566038531,0.050633429,0.720300752,21.542857143,0.027177991,10.714285714,0.546178389,11.000000000,0.561810780,0.272023810,-0.295089286,0.896259789,15.228571429,1.507918430,0.650612245,0.684897959,0.152872143,0.442437487
D24,exchange_rate,Benchmark,csv,dataset/exchange_rate/exchange_rate.csv,5,0.029188679,-0.018015880,12.087795253,33.850000000,0.657927111,0.007379355,0.814736842,31.750000000,0.093080841,14.225000000,0.698467231,16.275000000,0.086186794,0.202864583,-0.211588542,0.888180765,5.825000000,1.629360177,0.663571429,0.610714286,0.125172832,0.414134355
D25,Monash__elecdemand_dataset,Monash,tsf,dataset/Monash_Dataset/elecdemand_dataset/elecdemand_dataset.tsf,5,0.360929163,0.467766915,6.365818769,18.200000000,0.649589637,0.011460653,0.835789474,28.400000000,0.022991741,14.200000000,1.056764356,8.600000000,0.636794872,0.170833333,-0.018750000,0.963474073,11.000000000,1.549926125,0.502857143,0.662857143,0.166897110,0.432345930
D26,Monash__australian_electricity_demand_dataset,Monash,tsf,dataset/Monash_Dataset/australian_electricity_demand_dataset/australian_electricity_demand_dataset.tsf,5,0.084299322,0.620228916,7.056322185,19.800000000,0.697838166,0.011733054,0.762105263,30.800000000,0.044032922,9.600000000,1.023367899,10.400000000,0.494761905,0.354166667,-0.270833333,0.952035263,12.600000000,1.487022989,0.565714286,0.508571429,0.166897110,0.407107180
D27,TIME__CPHL__15T,TIME,arrow,dataset/Time_Dataset/CPHL/15T/data-00000-of-00001.arrow,5,-0.527747480,-0.576930777,10.714034664,25.000000000,0.546086010,0.004399000,0.903157895,29.000000000,0.109722222,20.800000000,0.315242229,13.000000000,0.037465585,-0.113541667,0.205208333,0.862563022,6.600000000,1.704742003,0.685714286,0.708571429,0.078539816,0.500411116
D28,Monash__pedestrian_counts_dataset,Monash,tsf,dataset/Monash_Dataset/pedestrian_counts_dataset/pedestrian_counts_dataset.tsf,5,-0.618485369,-0.732830174,3.257415371,6.400000000,0.403718514,0.068919983,0.804210526,12.000000000,0.031097085,11.000000000,0.298190166,3.000000000,0.528571429,0.039583333,-0.016666667,0.723030002,10.800000000,1.752238196,0.577142857,0.348571429,0.431968990,0.802796056
D29,Monash__bitcoin_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/bitcoin_dataset_without_missing_values/bitcoin_dataset_without_missing_values.tsf,5,-0.130065270,-0.227493217,0.000000000,0.000000000,0.510347551,0.031008016,0.781939690,23.044092315,0.054434070,0.000000000,0.652612701,10.442409921,0.376522394,0.057657358,-0.033132056,0.759108534,8.379569459,1.689552213,0.630845969,0.580039614,0.371409415,0.612839987
D30,TIME__Oil_Price__B,TIME,arrow,dataset/Time_Dataset/Oil_Price/B/data-00000-of-00001.arrow,5,0.153593270,0.093073064,11.740773204,31.066666667,0.673901891,0.005741038,0.851052632,33.583333333,0.091288561,16.150000000,0.825732284,14.716666667,0.082927073,0.146614583,-0.033767361,0.908093298,7.266666667,1.593498710,0.684761905,0.645238095,0.093266032,0.363441856
D31,Monash__oikolab_weather_dataset,Monash,tsf,dataset/Monash_Dataset/oikolab_weather_dataset/oikolab_weather_dataset.tsf,5,-0.319915294,-0.550728214,9.471439031,24.400000000,0.775349783,0.006667789,0.766315789,25.200000000,0.045765738,16.200000000,1.017321465,13.200000000,0.729242424,0.483333333,0.028125000,0.954299904,10.400000000,1.470283252,0.417142857,0.702857143,0.137444679,0.354365119
D32,TIME__Coastal_T_S__5T,TIME,arrow,dataset/Time_Dataset/Coastal_T_S/5T/data-00000-of-00001.arrow,5,0.105977589,0.154866582,9.190113183,27.533333333,0.509870918,-0.016721875,0.634385965,27.466666667,0.065685743,9.666666667,1.000202612,12.733333333,0.336017492,0.025694444,0.106597222,0.662551841,5.600000000,1.717392573,0.459047619,0.647619048,0.575958653,0.638173970
D33,TIME__Coastal_T_S__15T,TIME,arrow,dataset/Time_Dataset/Coastal_T_S/15T/data-00000-of-00001.arrow,5,-0.032330547,-0.106327707,0.943907959,2.200000000,0.128443165,0.030403488,0.614035088,8.066666667,0.017092206,7.266666667,0.162336971,2.066666667,0.251111111,0.006944444,-0.064583333,0.329915478,5.600000000,2.059404451,0.590476190,0.582857143,1.161734783,1.081013818
D34,electricity,Benchmark,csv,dataset/electricity/electricity.csv,5,0.143244896,-0.075112847,3.960466253,11.048598131,0.423006487,0.060216984,0.823151336,14.548286604,0.023898873,21.225545171,0.379404149,4.742056075,0.651455950,0.017023624,-0.023692238,0.849502659,8.626168224,1.729554004,0.548251001,0.324432577,0.309877500,0.706935529
D35,TIME__Port_Activity__D,TIME,arrow,dataset/Time_Dataset/Port_Activity/D/data-00000-of-00001.arrow,5,-0.284224521,-0.534236173,0.605912353,1.400000000,0.067763588,0.236469593,0.918947368,5.700000000,0.005434850,5.100000000,0.054360016,2.600000000,0.875000000,0.201041667,-0.078125000,0.187504266,4.300000000,2.128350325,0.720000000,0.568571429,1.698423528,1.147313470
D36,Monash__electricity_hourly_dataset,Monash,tsf,dataset/Monash_Dataset/electricity_hourly_dataset/electricity_hourly_dataset.tsf,5,0.286743876,-0.143090120,3.309265137,10.200000000,0.422296044,0.032426718,0.816842105,17.000000000,0.030544783,20.600000000,0.323820040,4.000000000,0.620000000,-0.159375000,-0.095833333,0.869966045,7.600000000,1.768414150,0.474285714,0.354285714,0.314159265,0.744619560
D37,TIME__NE_China_Wind__H,TIME,arrow,dataset/Time_Dataset/NE_China_Wind/H/data-00000-of-00001.arrow,5,-0.177763895,-0.305492766,11.204463153,28.000000000,0.708494435,-0.011584329,0.780526316,31.100000000,0.090773277,19.450000000,1.041357200,16.850000000,0.231734887,0.346093750,-0.301562500,0.932310264,11.050000000,1.549430382,0.580000000,0.618571429,0.100629140,0.366036747
D38,TIME__MetroPT-3__5T,TIME,arrow,dataset/Time_Dataset/MetroPT-3/5T/data-00000-of-00001.arrow,5,-0.170080822,-0.179546822,2.490226542,3.066666667,0.418471666,1.103310247,0.855789474,12.400000000,0.048782919,3.833333333,0.119255273,2.166666667,0.597168073,-0.062500000,0.108506944,0.228476458,10.566666667,1.916493032,0.601904762,0.628571429,1.251728323,1.123149671
D39,ETT-small,Benchmark,csv,dataset/ETT-small/ETTh1.csv,5,-0.004059074,-0.082747603,4.036143898,11.028571429,0.330455870,0.024895361,0.914586466,17.742857143,0.025877360,19.200000000,0.244004441,6.514285714,0.248293068,0.152529762,0.102083333,0.771271092,6.228571429,1.848560116,0.509387755,0.573061224,0.319769252,0.738979629
D40,Monash__solar_4_seconds_dataset,Monash,tsf,dataset/Monash_Dataset/solar_4_seconds_dataset/solar_4_seconds_dataset.tsf,5,-0.130065270,-0.227493217,0.000000000,0.000000000,0.510347551,0.031008016,0.781939690,23.044092315,0.054434070,0.000000000,0.652612701,10.442409921,0.376522394,0.057657358,-0.033132056,0.759108534,8.379569459,1.689552213,0.630845969,0.580039614,0.371409415,0.612839987
D41,Monash__solar_10_minutes_dataset,Monash,tsf,dataset/Monash_Dataset/solar_10_minutes_dataset/solar_10_minutes_dataset.tsf,5,-0.708165637,-0.846907422,17.229316069,52.600000000,0.896631197,-0.000814850,0.421052632,42.000000000,0.086574074,5.800000000,2.703783823,27.000000000,0.684827538,0.145833333,-0.385416667,0.966726019,16.000000000,1.163011844,0.788571429,0.600000000,0.058904862,0.151913743
D42,TIME__Australia_Solar__H,TIME,arrow,dataset/Time_Dataset/Australia_Solar/H/data-00000-of-00001.arrow,5,0.024563255,-0.000546878,4.575830892,12.200000000,0.666498431,-0.173151442,0.607017544,15.000000000,0.031139152,23.066666667,0.758995520,5.466666667,0.829365079,-0.155555556,0.025347222,0.934400809,6.733333333,1.540337952,0.464761905,0.379047619,0.242164434,0.552420618
D43,TIME__Crypto__D,TIME,arrow,dataset/Time_Dataset/Crypto/D/data-00000-of-00001.arrow,5,-0.351317809,-0.394538822,12.950411592,35.400000000,0.764576044,-0.027356181,0.775263158,33.000000000,0.093536219,18.000000000,0.855014173,20.400000000,0.114902482,0.250520833,-0.578125000,0.925921478,6.100000000,1.538620892,0.704285714,0.572857143,0.100629140,0.356323204
D44,Monash__wind_4_seconds_dataset,Monash,tsf,dataset/Monash_Dataset/wind_4_seconds_dataset/wind_4_seconds_dataset.tsf,5,0.085003605,-0.486097562,10.387313059,49.800000000,0.741891432,0.047717523,0.185861622,30.008818463,0.133701629,16.800000000,0.417362267,22.688481984,0.111063514,0.324031472,-0.417043078,0.883991563,3.275913892,1.025162402,0.640454908,0.510293637,0.152821699,0.419284815
D45,traffic,Benchmark,csv,dataset/traffic/traffic.csv,5,-0.368919769,-0.547868308,3.446422485,11.328306265,0.400983002,-0.016060331,0.848189034,14.085614849,0.022959481,22.699767981,0.321063360,4.623201856,0.547344155,0.027422902,0.059188902,0.822543896,11.575638051,1.664744231,0.504421611,0.321929069,0.301505881,0.723374490
D46,TIME__OpenElectricity_NEM__5T,TIME,arrow,dataset/Time_Dataset/OpenElectricity_NEM/5T/data-00000-of-00001.arrow,5,-0.245832786,-0.378869862,12.309727823,34.840000000,0.706994037,0.008915939,0.670947368,32.400000000,0.088296746,5.360000000,1.125624780,17.080000000,0.233758737,0.186770833,0.006875000,0.869347736,7.300000000,1.533773830,0.621142857,0.676571429,0.108973995,0.361420990
D47,TIME__current_velocity__10T,TIME,arrow,dataset/Time_Dataset/current_velocity/10T/data-00000-of-00001.arrow,5,-0.181019278,-0.344859731,8.287008889,17.966666667,0.507887986,-0.040958109,0.804561404,24.700000000,0.048550786,7.166666667,0.856269386,10.233333333,0.321362433,-0.132465278,0.085069444,0.738536552,10.433333333,1.728236923,0.678095238,0.642857143,0.404152805,0.598508961
D48,weather,Benchmark,csv,dataset/weather/weather.csv,5,-0.120152660,-0.125678555,20.395684838,45.771428571,0.750785471,0.014101811,0.608020050,43.600000000,0.104832335,5.866666667,1.533096893,20.714285714,0.283263917,-0.129960317,0.093849206,0.818122489,12.809523810,1.333614809,0.663673469,0.561088435,0.087422296,0.273320887
D49,TIME__CPHL__30T,TIME,arrow,dataset/Time_Dataset/CPHL/30T/data-00000-of-00001.arrow,5,-0.414572765,-0.586476065,4.764731300,12.800000000,0.249190027,0.099711236,0.943157895,17.400000000,0.027213068,17.600000000,0.175802816,9.200000000,0.270793651,0.089583333,-0.148958333,0.654964980,5.400000000,1.938005839,0.737142857,0.731428571,0.490873852,0.790183453
D50,Monash__us_births_dataset,Monash,tsf,dataset/Monash_Dataset/us_births_dataset/us_births_dataset.tsf,5,0.413921196,0.612879750,1.071225436,3.400000000,0.217987401,0.522905378,0.922105263,6.000000000,0.009929078,6.000000000,0.101791598,1.200000000,0.900000000,-0.166666667,0.135416667,0.140030019,6.000000000,2.083819716,0.674285714,0.628571429,0.893390411,1.225418951
D51,TIME__Water_Quality_Darwin__15T,TIME,arrow,dataset/Time_Dataset/Water_Quality_Darwin/15T/data-00000-of-00001.arrow,5,-0.253337906,-0.293382674,9.922970397,30.133333333,0.713149644,-0.001089257,0.771578947,29.466666667,0.053497117,12.366666667,0.933815834,15.600000000,0.326369789,0.076562500,0.027604167,0.931451725,10.166666667,1.515284897,0.694285714,0.622857143,0.114537232,0.386286157
D52,TIME__current_velocity__15T,TIME,arrow,dataset/Time_Dataset/current_velocity/15T/data-00000-of-00001.arrow,5,0.140011616,0.077941429,9.615624052,23.233333333,0.609361816,-0.040633559,0.789122807,29.733333333,0.060150482,10.300000000,0.914551403,13.800000000,0.265909217,-0.184027778,0.021527778,0.822557116,7.433333333,1.676686801,0.660000000,0.604761905,0.245436926,0.463920745
D53,Monash__wind_farms_minutely_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/wind_farms_minutely_dataset_without_missing_values/wind_farms_minutely_dataset_without_missing_values.tsf,5,0.281148065,0.142312138,5.374469306,15.400000000,0.643731580,0.017105002,0.774426972,29.626455389,0.067035442,0.000000000,1.050339117,16.265445952,0.274398285,-0.250822252,0.153037433,0.828636399,9.827741675,1.606854103,0.647079010,0.496595197,0.271933034,0.464660440
