dataset,source_format,source_path,sample_rank,sample_index,series_name,series_length_original,series_length_used,downsampled,value_source,pc1,pc2,pc1_explained_ratio,pc2_explained_ratio
m3_quarterly_dataset,tsf,m3_quarterly_dataset/m3_quarterly_dataset.tsf,2,248,T248,51,51,False,value,-0.635212676,0.728915502,0.239885251,0.136868979
m3_quarterly_dataset,tsf,m3_quarterly_dataset/m3_quarterly_dataset.tsf,3,285,T285,42,42,False,value,0.548771696,0.036861965,0.239885251,0.136868979
m3_quarterly_dataset,tsf,m3_quarterly_dataset/m3_quarterly_dataset.tsf,4,523,T523,24,24,False,value,0.576275354,-0.606405944,0.239885251,0.136868979
m3_quarterly_dataset,tsf,m3_quarterly_dataset/m3_quarterly_dataset.tsf,5,642,T642,43,43,False,value,-0.355041678,0.838122212,0.239885251,0.136868979
m3_yearly_dataset,tsf,m3_yearly_dataset/m3_yearly_dataset.tsf,1,211,T211,47,47,False,value,-1.511077571,-0.362533151,0.239885251,0.136868979
m3_yearly_dataset,tsf,m3_yearly_dataset/m3_yearly_dataset.tsf,2,247,T247,32,32,False,value,2.291534870,-0.253207339,0.239885251,0.136868979
m3_yearly_dataset,tsf,m3_yearly_dataset/m3_yearly_dataset.tsf,3,332,T332,47,47,False,value,-0.719614819,0.582104208,0.239885251,0.136868979
m3_yearly_dataset,tsf,m3_yearly_dataset/m3_yearly_dataset.tsf,4,439,T439,21,21,False,value,-1.052600700,0.909368066,0.239885251,0.136868979
m3_yearly_dataset,tsf,m3_yearly_dataset/m3_yearly_dataset.tsf,5,529,T529,21,21,False,value,-0.557012252,-0.421469594,0.239885251,0.136868979
m4_daily_dataset,tsf,m4_daily_dataset/m4_daily_dataset.tsf,1,952,T952,3712,3712,False,value,-4.714035780,1.134748069,0.239885251,0.136868979
m4_daily_dataset,tsf,m4_daily_dataset/m4_daily_dataset.tsf,2,1451,T1451,4211,4211,False,value,-4.741752032,0.496827343,0.239885251,0.136868979
m4_daily_dataset,tsf,m4_daily_dataset/m4_daily_dataset.tsf,3,2020,T2020,4211,4211,False,value,-4.801086738,-0.842671735,0.239885251,0.136868979
m4_daily_dataset,tsf,m4_daily_dataset/m4_daily_dataset.tsf,4,3576,T3576,4211,4211,False,value,-5.947438169,-1.407008336,0.239885251,0.136868979
m4_daily_dataset,tsf,m4_daily_dataset/m4_daily_dataset.tsf,5,3775,T3775,250,250,False,value,-1.603269187,0.318884761,0.239885251,0.136868979
m4_hourly_dataset,tsf,m4_hourly_dataset/m4_hourly_dataset.tsf,1,47,T47,748,748,False,value,-0.018503211,1.267319736,0.239885251,0.136868979
m4_hourly_dataset,tsf,m4_hourly_dataset/m4_hourly_dataset.tsf,2,50,T50,748,748,False,value,-0.154382124,1.292049665,0.239885251,0.136868979
m4_hourly_dataset,tsf,m4_hourly_dataset/m4_hourly_dataset.tsf,3,166,T166,748,748,False,value,0.307237325,0.711468871,0.239885251,0.136868979
m4_hourly_dataset,tsf,m4_hourly_dataset/m4_hourly_dataset.tsf,4,232,T232,1008,1008,False,value,-0.099831950,1.123773775,0.239885251,0.136868979
m4_hourly_dataset,tsf,m4_hourly_dataset/m4_hourly_dataset.tsf,5,351,T351,1008,1008,False,value,0.430598723,1.267985869,0.239885251,0.136868979
m4_monthly_dataset,tsf,m4_monthly_dataset/m4_monthly_dataset.tsf,1,21140,T21140,204,204,False,value,-0.418901270,0.727704197,0.239885251,0.136868979
m4_monthly_dataset,tsf,m4_monthly_dataset/m4_monthly_dataset.tsf,2,24300,T24300,242,242,False,value,0.085768328,0.724293888,0.239885251,0.136868979
m4_monthly_dataset,tsf,m4_monthly_dataset/m4_monthly_dataset.tsf,3,27150,T27150,552,552,False,value,-2.724299211,1.006885683,0.239885251,0.136868979
m4_monthly_dataset,tsf,m4_monthly_dataset/m4_monthly_dataset.tsf,4,33328,T33328,97,97,False,value,2.450279070,0.319970518,0.239885251,0.136868979
m4_monthly_dataset,tsf,m4_monthly_dataset/m4_monthly_dataset.tsf,5,33678,T33678,101,101,False,value,2.211646131,0.649706033,0.239885251,0.136868979
m4_quarterly_dataset,tsf,m4_quarterly_dataset/m4_quarterly_dataset.tsf,1,4862,T4862,130,130,False,value,0.561992280,0.499767632,0.239885251,0.136868979
m4_quarterly_dataset,tsf,m4_quarterly_dataset/m4_quarterly_dataset.tsf,2,13165,T13165,47,47,False,value,0.234206024,1.479453372,0.239885251,0.136868979
m4_quarterly_dataset,tsf,m4_quarterly_dataset/m4_quarterly_dataset.tsf,3,16360,T16360,34,34,False,value,-1.133965337,1.158609997,0.239885251,0.136868979
m4_quarterly_dataset,tsf,m4_quarterly_dataset/m4_quarterly_dataset.tsf,4,18465,T18465,110,110,False,value,-2.476736029,0.950671626,0.239885251,0.136868979
m4_quarterly_dataset,tsf,m4_quarterly_dataset/m4_quarterly_dataset.tsf,5,23229,T23229,59,59,False,value,-1.059491316,-0.273717233,0.239885251,0.136868979
m4_weekly_dataset,tsf,m4_weekly_dataset/m4_weekly_dataset.tsf,1,17,T17,734,734,False,value,-4.493055355,-0.114099193,0.239885251,0.136868979
m4_weekly_dataset,tsf,m4_weekly_dataset/m4_weekly_dataset.tsf,2,60,T60,2297,2297,False,value,-3.259231335,-0.386191528,0.239885251,0.136868979
m4_weekly_dataset,tsf,m4_weekly_dataset/m4_weekly_dataset.tsf,3,99,T99,2296,2296,False,value,-6.020067415,-0.612289282,0.239885251,0.136868979
m4_weekly_dataset,tsf,m4_weekly_dataset/m4_weekly_dataset.tsf,4,132,T132,2296,2296,False,value,-5.488045255,-0.830963726,0.239885251,0.136868979
m4_weekly_dataset,tsf,m4_weekly_dataset/m4_weekly_dataset.tsf,5,133,T133,2296,2296,False,value,-5.562261384,-0.946502209,0.239885251,0.136868979
m4_yearly_dataset,tsf,m4_yearly_dataset/m4_yearly_dataset.tsf,1,3634,T3634,55,55,False,value,0.703463546,0.286180026,0.239885251,0.136868979
m4_yearly_dataset,tsf,m4_yearly_dataset/m4_yearly_dataset.tsf,2,5390,T5390,46,46,False,value,-0.917735619,0.913686097,0.239885251,0.136868979
m4_yearly_dataset,tsf,m4_yearly_dataset/m4_yearly_dataset.tsf,3,9781,T9781,21,21,False,value,-0.346909955,-0.315580291,0.239885251,0.136868979
m4_yearly_dataset,tsf,m4_yearly_dataset/m4_yearly_dataset.tsf,4,11367,T11367,32,32,False,value,0.816897810,0.396489878,0.239885251,0.136868979
m4_yearly_dataset,tsf,m4_yearly_dataset/m4_yearly_dataset.tsf,5,19052,T19052,188,188,False,value,-0.601791120,0.731073675,0.239885251,0.136868979
nn5_daily_dataset_without_missing_values,tsf,nn5_daily_dataset_without_missing_values/nn5_daily_dataset_without_missing_values.tsf,1,55,T55,791,791,False,value,3.641742096,0.779855916,0.239885251,0.136868979
nn5_daily_dataset_without_missing_values,tsf,nn5_daily_dataset_without_missing_values/nn5_daily_dataset_without_missing_values.tsf,2,71,T71,791,791,False,value,3.226472842,0.397953831,0.239885251,0.136868979
nn5_daily_dataset_without_missing_values,tsf,nn5_daily_dataset_without_missing_values/nn5_daily_dataset_without_missing_values.tsf,3,83,T83,791,791,False,value,3.537193515,0.339299444,0.239885251,0.136868979
nn5_daily_dataset_without_missing_values,tsf,nn5_daily_dataset_without_missing_values/nn5_daily_dataset_without_missing_values.tsf,4,85,T85,791,791,False,value,3.570489454,-0.173620830,0.239885251,0.136868979
nn5_daily_dataset_without_missing_values,tsf,nn5_daily_dataset_without_missing_values/nn5_daily_dataset_without_missing_values.tsf,5,109,T109,791,791,False,value,3.664648659,0.115439673,0.239885251,0.136868979
nn5_weekly_dataset,tsf,nn5_weekly_dataset/nn5_weekly_dataset.tsf,1,4,T4,113,113,False,value,2.390473285,0.705402278,0.239885251,0.136868979
nn5_weekly_dataset,tsf,nn5_weekly_dataset/nn5_weekly_dataset.tsf,2,22,T22,113,113,False,value,3.130594828,0.178233280,0.239885251,0.136868979
nn5_weekly_dataset,tsf,nn5_weekly_dataset/nn5_weekly_dataset.tsf,3,24,T24,113,113,False,value,2.160808920,0.824303919,0.239885251,0.136868979
nn5_weekly_dataset,tsf,nn5_weekly_dataset/nn5_weekly_dataset.tsf,4,33,T33,113,113,False,value,3.816951926,0.270761559,0.239885251,0.136868979
nn5_weekly_dataset,tsf,nn5_weekly_dataset/nn5_weekly_dataset.tsf,5,105,T105,113,113,False,value,3.995571207,0.019925413,0.239885251,0.136868979
oikolab_weather_dataset,tsf,oikolab_weather_dataset/oikolab_weather_dataset.tsf,1,1,T1,100057,50000,True,value,-0.230954516,1.432894290,0.239885251,0.136868979
oikolab_weather_dataset,tsf,oikolab_weather_dataset/oikolab_weather_dataset.tsf,2,2,T2,100057,50000,True,value,-2.043712009,0.739723643,0.239885251,0.136868979
oikolab_weather_dataset,tsf,oikolab_weather_dataset/oikolab_weather_dataset.tsf,3,3,T3,100057,50000,True,value,-0.278832933,0.854435822,0.239885251,0.136868979
oikolab_weather_dataset,tsf,oikolab_weather_dataset/oikolab_weather_dataset.tsf,4,4,T4,100057,50000,True,value,-1.786989213,0.504029097,0.239885251,0.136868979
oikolab_weather_dataset,tsf,oikolab_weather_dataset/oikolab_weather_dataset.tsf,5,8,T8,100057,50000,True,value,0.071651921,-0.390030906,0.239885251,0.136868979
pedestrian_counts_dataset,tsf,pedestrian_counts_dataset/pedestrian_counts_dataset.tsf,1,5,T5,93068,50000,True,value,1.705141193,0.629090191,0.239885251,0.136868979
pedestrian_counts_dataset,tsf,pedestrian_counts_dataset/pedestrian_counts_dataset.tsf,2,24,T24,57187,50000,True,value,0.954467215,0.980362195,0.239885251,0.136868979
pedestrian_counts_dataset,tsf,pedestrian_counts_dataset/pedestrian_counts_dataset.tsf,3,28,T28,56946,50000,True,value,0.675088916,1.041662668,0.239885251,0.136868979
pedestrian_counts_dataset,tsf,pedestrian_counts_dataset/pedestrian_counts_dataset.tsf,4,36,T36,43795,43795,False,value,0.389475998,1.075141074,0.239885251,0.136868979
pedestrian_counts_dataset,tsf,pedestrian_counts_dataset/pedestrian_counts_dataset.tsf,5,57,T57,13368,13368,False,value,1.309429768,-0.247034409,0.239885251,0.136868979
rideshare_dataset_without_missing_values,tsf,rideshare_dataset_without_missing_values/rideshare_dataset_without_missing_values.tsf,1,218,T235,541,541,False,value,-3.014627194,0.696117450,0.239885251,0.136868979
