dataset_name,anonymous_public_load_power_data_per_unit,anonymous_public_pv_power_data_per_unit,australian_electricity_demand_dataset,bitcoin_dataset_without_missing_values,elecdemand_dataset,electricity_hourly_dataset,kdd_cup_2018_dataset_without_missing_values,oikolab_weather_dataset,pedestrian_counts_dataset,saugeenday_dataset,solar_10_minutes_dataset,solar_4_seconds_dataset,sunspot_dataset_without_missing_values,traffic_hourly_dataset,us_births_dataset,weather_dataset,wind_4_seconds_dataset,wind_farms_minutely_dataset_without_missing_values,Australia_Solar__H,CPHL__15T,CPHL__30T,CPHL__H,Coastal_T_S__15T,Coastal_T_S__20T,Coastal_T_S__5T,Coastal_T_S__H,Crypto__D,EWELD_Load__15T,Finland_Traffic__15T,MetroPT-3__5T,NE_China_Wind__H,Oil_Price__B,OpenElectricity_NEM__5T,Port_Activity__D,SG_Carpark__15T,SG_PM25__H,SG_Weather__D,US_Term_Structure__B,Water_Quality_Darwin__15T,azure2019_D__5T,azure2019_I__5T,current_velocity__10T,current_velocity__15T,current_velocity__20T,current_velocity__5T,current_velocity__H,epf_electricity_price__H
solar_10_minutes_dataset,6.510979788,6.495641347,5.167066778,6.963272228,5.473874554,7.441958414,5.498727800,5.604220624,7.332326409,6.253036725,0.000000000,4.525233444,6.907826622,7.510440578,10.638151506,9.124252703,4.793953876,5.008009788,6.429410911,6.417048238,8.367788712,7.944663967,7.814325664,4.455345355,5.722214294,7.810103029,4.119497168,4.930750411,3.768291540,9.229045599,4.588535848,4.499306836,3.874243097,10.922881305,2.635122284,8.165984646,9.213352080,4.415457792,4.557151481,10.277054190,9.344529184,5.584600078,5.443043795,6.041682378,5.090928579,7.391240172,6.933023015
solar_4_seconds_dataset,3.222259946,2.802094231,3.565934237,3.636559778,3.719867914,4.942554093,2.561821663,3.582583356,5.005271734,3.261760183,4.525233444,0.000000000,3.440055702,5.430003278,7.609935067,5.516678376,2.306000352,1.716955519,4.773635661,3.188888642,5.175169323,4.785857822,4.281821472,4.115044626,3.224400839,4.678502670,2.806670572,2.538908828,3.856573561,6.687266503,3.324183758,2.588701465,1.983284842,8.293745378,3.780764123,4.889507160,5.898807990,2.752778691,2.512475873,7.537454032,6.204949746,2.778306659,2.391198809,2.845168473,2.409527310,4.497903339,3.986356316
sunspot_dataset_without_missing_values,1.262196893,2.380998289,4.467374446,2.639574227,4.342039627,3.268814155,2.345672391,2.829678292,3.143155668,2.289363592,6.907826622,3.440055702,0.000000000,3.476983895,5.608876224,3.301806006,3.854876949,2.866239186,4.005534684,2.667540795,2.651809204,2.357386182,2.558967608,5.201323250,3.357445558,2.724366202,4.274624033,3.054255170,5.804318837,5.068870779,4.269948705,4.378672532,4.200509628,6.224667220,6.152493976,2.334997249,3.632376207,4.537313655,3.332619390,5.498588776,4.039227763,3.238309728,2.935687592,2.526340151,3.414667730,2.658762498,2.210372931
traffic_hourly_dataset,3.452855453,3.831013814,4.493343760,3.592626797,4.092719707,1.525259090,3.523998612,2.510261933,1.730133584,4.005848843,7.510440578,5.430003278,3.476983895,0.000000000,5.689376147,4.442894013,6.126556703,4.378528130,2.416912065,4.324086151,3.628554199,2.842473111,3.825860824,4.630835972,4.109636994,2.851577450,5.436970293,4.599747016,6.852935267,5.452828126,4.386379856,5.521133768,5.512091041,6.305804681,6.714518538,3.362504733,4.063187631,5.501175285,4.182035351,5.382277468,4.408200002,4.073600734,4.093463358,3.598669366,4.563086850,2.215363160,2.606035059
us_births_dataset,5.570738608,5.277029884,6.963466983,4.861129686,6.628711841,5.100807294,6.624179149,6.250957539,5.926605603,6.176417525,10.638151506,7.609935067,5.608876224,5.689376147,0.000000000,3.108523783,8.673133791,6.467606423,6.560341084,6.137389922,4.367038718,4.462912935,3.967686338,7.818020667,5.334004158,3.798174850,8.242262312,7.623592237,9.879258494,3.155467132,7.507019173,7.979656279,8.079426999,3.285533908,9.371187653,4.434314050,3.623091051,8.000346594,7.240024087,4.056936457,3.219338743,6.069008703,6.162508245,5.654807110,6.542964848,4.498442943,5.274790649
weather_dataset,3.213499535,3.052101128,5.782862701,2.891080231,5.564185554,4.087580631,4.504555325,4.760131090,4.367276108,4.133443409,9.124252703,5.516678376,3.301806006,4.442894013,3.108523783,0.000000000,6.492494600,4.466915429,5.557818905,3.996098248,2.212486296,2.472286377,1.514726534,6.641225729,3.775233366,2.050528561,6.299233854,5.397481711,7.966835424,3.723513107,5.996681441,6.138356239,6.124330257,4.158344612,8.035376072,2.030317355,1.355216868,6.250704266,5.340711485,3.425574772,1.801812130,4.315192009,4.257026577,3.694888368,4.651229444,2.993257081,3.523511522
wind_4_seconds_dataset,4.028244999,4.273115502,5.068865983,5.088761645,5.106267460,5.776472177,3.496214456,4.334872706,5.750401080,4.371832414,4.793953876,2.306000352,3.854876949,6.126556703,8.673133791,6.492494600,0.000000000,3.409314327,5.371247527,4.489250066,6.065254923,5.823982929,5.471515375,5.681099001,4.841946099,5.823345390,3.582894828,3.265298862,4.717185456,7.872360277,4.486848399,3.871853533,3.369113410,9.232728165,4.727865588,5.748720826,6.926563646,4.087574530,3.873984338,8.406982662,7.206380950,4.420462539,4.058717120,4.370149121,3.987884554,5.631400886,4.980148614
wind_farms_minutely_dataset_without_missing_values,2.251323682,1.844310780,2.929836267,2.441955665,2.974650478,3.979743104,1.599958148,2.603047697,4.008709253,2.404010401,5.008009788,1.716955519,2.866239186,4.378528130,6.467606423,4.466915429,3.409314327,0.000000000,4.220873171,2.060844470,3.863617457,3.487116759,3.082153265,3.488237413,1.919120643,3.342751845,2.353182886,2.099944686,3.987186140,5.513723632,2.617275636,2.206938902,1.877349856,7.221543809,3.955781361,3.654189937,4.642969637,2.355852560,1.602773648,6.462556284,5.053895548,1.451843969,0.953698864,1.416993367,1.071419398,3.223350523,2.911620600
Australia_Solar__H,4.010387921,4.196887204,3.800156674,4.031179095,3.230478218,1.906819633,3.652043048,2.359095609,2.965998387,4.693766901,6.429410911,4.773635661,4.005534684,2.416912065,6.560341084,5.557818905,5.371247527,4.220873171,0.000000000,4.841687743,5.088808651,4.287089729,4.710369212,3.938743322,4.260558355,3.932389054,5.163755716,4.626260617,6.299520332,6.417596358,4.031404822,5.130346002,5.043024785,7.259108553,5.571961614,4.725912771,5.553059835,5.083728036,4.017708423,6.430809828,5.557783631,4.080649599,4.061885291,3.822648368,4.470461737,3.184327384,3.419573907
CPHL__15T,2.255410167,2.301774578,3.858339216,2.825710738,3.894261971,4.026948973,1.826717010,2.974696773,3.905409040,2.361044378,6.417048238,3.188888642,2.667540795,4.324086151,6.137389922,3.996098248,4.489250066,2.060844470,4.841687743,0.000000000,2.955344747,2.596081778,2.732705507,4.537120452,2.633836817,2.903847966,2.853283333,2.075134156,4.405139862,5.397611366,3.206372839,2.670840132,2.842037996,6.813929800,5.101631148,2.824633433,3.944007775,2.888042026,2.188032814,6.051917180,4.528104272,1.811498424,1.586234258,1.396010150,1.910277442,2.831797942,2.380670368
CPHL__30T,2.253055702,3.054232080,5.388066800,2.541795227,5.184774173,3.718555718,3.498099179,3.853792123,3.172208467,3.010924792,8.367788712,5.175169323,2.651809204,3.628554199,4.367038718,2.212486296,6.065254923,3.863617457,5.088808651,2.955344747,0.000000000,1.243839120,1.754155050,5.878974205,3.542314086,1.880516824,5.241389138,4.224527787,6.773634152,3.852043370,5.247550289,5.346839986,5.315779459,4.784309691,7.406925707,0.778274705,1.748918387,5.506374003,4.284934593,4.145908438,2.540166306,3.748915157,3.589779792,2.942332119,3.993824418,2.443285626,2.864954041
CPHL__H,2.153241589,2.595448716,4.628205413,2.311543135,4.431062622,2.807315992,2.919735189,3.145461239,2.700753218,2.827297402,7.944663967,4.785857822,2.357386182,2.842473111,4.462912935,2.472286377,5.823982929,3.487116759,4.287089729,2.596081778,1.243839120,0.000000000,1.794448970,5.205894196,3.230367912,1.308844923,4.895563793,3.917644107,6.459110326,4.152609295,4.502999731,4.863383951,4.907104790,5.258993262,6.848430352,1.056370713,2.184182560,4.970803381,3.744162109,4.516288158,2.864706402,3.212671247,3.074796724,2.411186201,3.603877423,1.422431315,1.899359301
Coastal_T_S__15T,2.112372490,1.834068257,4.718148077,1.775352130,4.508080264,3.450939727,3.184293975,3.660655741,3.513994363,3.072362324,7.814325664,4.281821472,2.558967608,3.825860824,3.967686338,1.514726534,5.471515375,3.082153265,4.710369212,2.732705507,1.754155050,1.794448970,0.000000000,5.410437352,2.539496397,1.290907450,4.924164310,4.051629085,6.527648854,3.810926656,4.782043854,4.788679103,4.704274431,4.717892884,6.723149745,1.463389788,1.748787685,4.930280264,3.965314182,3.906069715,2.210262527,3.004254943,2.862629169,2.302524030,3.244449805,2.162517265,2.711030603
Coastal_T_S__20T,4.580926976,4.463710088,2.238124883,4.133132052,2.452291553,4.517308402,3.939141384,3.339630080,4.697464678,4.350783353,4.455345355,4.115044626,5.201323250,4.630835972,7.818020667,6.641225729,5.681099001,3.488237413,3.938743322,4.537120452,5.878974205,5.205894196,5.410437352,0.000000000,3.504674206,5.034320912,3.996234748,4.228550243,4.340498792,6.700504734,2.884992573,3.804382996,3.642733728,8.441711340,3.443636487,5.744280301,6.511923852,3.563744627,2.782474375,7.753622680,6.759578858,3.293243752,3.369932656,3.630431164,3.540880528,4.451081349,4.315864298
Coastal_T_S__5T,2.614815398,2.032104184,3.102394799,2.233025835,3.105808620,3.762429986,2.788745202,2.906239206,3.991126998,2.965850245,5.722214294,3.224400839,3.357445558,4.109636994,5.334004158,3.775233366,4.841946099,1.919120643,4.260558355,2.633836817,3.542314086,3.230367912,2.539496397,3.504674206,0.000000000,2.656392438,3.544660634,3.255076671,4.985828113,4.503120320,3.192913115,3.348747653,3.170685255,5.927826686,4.586233743,3.356291737,3.842899411,3.344259087,2.573875443,5.214698267,4.033757322,1.664932101,1.745910817,1.777730432,1.839895913,2.818962113,2.918880414
Coastal_T_S__H,2.410371910,2.266265947,4.312503428,2.053412020,4.001947589,2.430800407,3.084585659,3.030983546,2.965006158,3.352243227,7.810103029,4.678502670,2.724366202,2.851577450,3.798174850,2.050528561,5.823345390,3.342751845,3.932389054,2.903847966,1.880516824,1.308844923,1.290907450,5.034320912,2.656392438,0.000000000,4.955055687,4.186604614,6.650231891,3.947947162,4.371330047,4.804827115,4.871879976,4.816523651,6.587309924,1.531658472,1.949524414,4.877585529,3.852879083,3.932244451,2.362448044,2.915956571,2.905258413,2.275022740,3.364217863,1.084131930,2.042536093
Crypto__D,3.777737230,3.913927785,3.701678781,4.476295482,3.859796954,5.252948304,2.384467343,3.296285316,5.154182721,3.806290636,4.119497168,2.806670572,4.274624033,5.436970293,8.242262312,6.299233854,3.582894828,2.353182886,5.163755716,2.853283333,5.241389138,4.895563793,4.924164310,3.996234748,3.544660634,4.955055687,0.000000000,1.765205010,2.611484080,7.256013904,2.385967948,1.223173529,1.229107573,8.816063611,3.038417054,5.065954338,6.244234864,1.525554996,1.745812218,7.916802256,6.680236613,2.633118054,2.419421117,2.968797217,1.989215145,4.635615363,4.085462678
EWELD_Load__15T,2.658059231,3.138425239,4.100433773,3.755576393,4.166763229,4.567994878,1.601410223,2.899303122,4.005685013,2.762257048,4.930750411,2.538908828,3.054255170,4.599747016,7.623592237,5.397481711,3.265298862,2.099944686,4.626260617,2.075134156,4.224527787,3.917644107,4.051629085,4.228550243,3.255076671,4.186604614,1.765205010,0.000000000,3.023222930,6.578904425,3.018710255,2.270438122,1.844980056,7.865227272,4.223088216,4.004715251,5.298049869,2.581624726,1.660226463,6.976165378,5.708588534,2.578035282,2.203915333,2.401896871,2.146466744,3.906009280,3.378825993
Finland_Traffic__15T,5.222571874,5.520928038,5.008681225,5.793446863,5.267628026,6.795267381,4.169552035,4.994805930,6.216474184,4.999689788,3.768291540,3.856573561,5.804318837,6.852935267,9.879258494,7.966835424,4.717185456,3.987186140,6.299520332,4.405139862,6.773634152,6.459110326,6.527648854,4.340498792,4.985828113,6.650231891,2.611484080,3.023222930,0.000000000,8.525374244,4.152751776,3.028282171,2.429258138,9.898297692,3.367629657,6.632202266,7.815650178,3.226070628,3.115633291,9.128857578,8.053282698,4.370218697,4.086010246,4.565597472,3.795187532,6.256197705,5.859507583
MetroPT-3__5T,4.808701070,4.694791759,6.443002511,4.246677489,6.267365385,5.284136858,5.895351009,5.689684601,5.115728897,4.580233538,9.229045599,6.687266503,5.068870779,5.452828126,3.155467132,3.723513107,7.872360277,5.513723632,6.417596358,5.397611366,3.852043370,4.152609295,3.810926656,6.700504734,4.503120320,3.947947162,7.256013904,6.578904425,8.525374244,0.000000000,6.822668446,7.184803804,7.031761277,3.667895815,8.436834986,4.237423017,3.954496489,7.211070710,6.254736840,5.049013650,3.868999289,5.466460234,5.466211325,5.045833167,5.801020809,4.552877880,5.085896383
NE_China_Wind__H,4.002762811,3.637947024,1.955642662,4.193672021,2.185227097,4.048243054,2.577158020,2.299602914,4.728271189,3.843632704,4.588535848,3.324183758,4.269948705,4.386379856,7.507019173,5.996681441,4.486848399,2.617275636,4.031404822,3.206372839,5.247550289,4.502999731,4.782043854,2.884992573,3.192913115,4.371330047,2.385967948,3.018710255,4.152751776,6.822668446,0.000000000,1.962200601,2.556876639,8.621857960,2.939188430,5.038807442,5.993331493,1.635029738,1.906165777,7.750048185,6.504685562,2.087675642,2.347629220,2.767159128,2.380127846,3.800088310,3.071708603
Oil_Price__B,3.969286685,3.636349655,3.111993102,4.328931386,3.329769273,5.096251138,2.514952791,3.329761830,5.357934903,3.882136370,4.499306836,2.588701465,4.378672532,5.521133768,7.979656279,6.138356239,3.871853533,2.206938902,5.130346002,2.670840132,5.346839986,4.863383951,4.788679103,3.804382996,3.348747653,4.804827115,1.223173529,2.270438122,3.028282171,7.184803804,1.962200601,0.000000000,1.267555372,8.837566050,2.813292717,5.150981273,6.185638558,0.512257156,1.818068868,7.962467234,6.656409906,2.125860633,2.085241081,2.712019814,1.771584250,4.474018338,3.855854040
OpenElectricity_NEM__5T,3.686969779,3.449868402,3.501053090,4.150682778,3.713125204,5.210673027,2.387572087,3.476766851,5.111481635,3.627626581,3.874243097,1.983284842,4.200509628,5.512091041,8.079426999,6.124330257,3.369113410,1.877349856,5.043024785,2.842037996,5.315779459,4.907104790,4.704274431,3.642733728,3.170685255,4.871879976,1.229107573,1.844980056,2.429258138,7.031761277,2.556876639,1.267555372,0.000000000,8.599089848,2.828243381,5.088093349,6.180672871,1.561395874,1.681818871,7.771830822,6.505580062,2.456182726,2.119504428,2.772248224,1.723216921,4.584176760,4.148711869
Port_Activity__D,5.958335018,6.167072791,8.298974017,5.599865481,7.986571901,6.199568196,7.326178823,7.122215383,5.977391377,6.674020728,10.922881305,8.293745378,6.224667220,6.305804681,3.285533908,4.158344612,9.232728165,7.221543809,7.259108553,6.813929800,4.784309691,5.258993262,4.717892884,8.441711340,5.927826686,4.816523651,8.816063611,7.865227272,9.898297692,3.667895815,8.621857960,8.837566050,8.599089848,0.000000000,10.121792695,4.871876054,4.092408347,8.946845976,7.834480415,2.787933431,3.007303509,7.036727510,7.003027872,6.464533587,7.275000477,5.546997015,6.484634444
SG_Carpark__15T,5.747818698,5.485388078,3.396362865,5.911833917,3.721901013,6.281679874,4.524439582,4.488668613,6.752505456,5.632881510,2.635122284,3.780764123,6.152493976,6.714518538,9.371187653,8.035376072,4.727865588,3.955781361,5.571961614,5.101631148,7.406925707,6.848430352,6.723149745,3.443636487,4.586233743,6.587309924,3.038417054,4.223088216,3.367629657,8.436834986,2.939188430,2.813292717,2.828243381,10.121792695,0.000000000,7.192861118,8.160422601,2.588558336,3.389838922,9.394594557,8.354423282,3.992774581,4.037541016,4.686275190,3.728866693,6.120020947,5.618213393
SG_PM25__H,1.989807777,2.722498344,5.201644236,2.386709812,4.986537612,3.379854512,3.189200366,3.623260447,3.021057544,3.124660785,8.165984646,4.889507160,2.334997249,3.362504733,4.434314050,2.030317355,5.748720826,3.654189937,4.725912771,2.824633433,0.778274705,1.056370713,1.463389788,5.744280301,3.356291737,1.531658472,5.065954338,4.004715251,6.632202266,4.237423017,5.038807442,5.150981273,5.088093349,4.871876054,7.192861118,0.000000000,1.660131778,5.321312813,4.090210601,3.917832442,2.303860015,3.554783883,3.352574253,2.710516057,3.758583692,2.065670849,2.587618123
SG_Weather__D,3.282249436,3.373565404,5.934081488,2.975576542,5.696394169,4.053289727,4.495408330,4.701574995,3.911395179,4.179697218,9.213352080,5.898807990,3.632376207,4.063187631,3.623091051,1.355216868,6.926563646,4.642969637,5.553059835,3.944007775,1.748918387,2.184182560,1.748787685,6.511923852,3.842899411,1.949524414,6.244234864,5.298049869,7.815650178,3.954496489,5.993331493,6.185638558,6.180672871,4.092408347,8.160422601,1.660131778,0.000000000,6.301449460,5.255719957,2.981474395,1.512107288,4.343155768,4.323444663,3.691701641,4.682582957,2.872757111,3.566309571
US_Term_Structure__B,4.148598207,3.745258611,2.783247210,4.411124245,3.069351747,5.071956314,2.725179687,3.287036867,5.449486207,3.972498304,4.415457792,2.752778691,4.537313655,5.501175285,8.000346594,6.250704266,4.087574530,2.355852560,5.083728036,2.888042026,5.506374003,4.970803381,4.930280264,3.563744627,3.344259087,4.877585529,1.525554996,2.581624726,3.226070628,7.211070710,1.635029738,0.512257156,1.561395874,8.946845976,2.588558336,5.321312813,6.301449460,0.000000000,1.882629537,8.082880569,6.795538603,2.101809368,2.198677424,2.825012304,1.946136646,4.512532718,3.834958923
Water_Quality_Darwin__15T,2.737692685,2.981640149,2.618734763,3.180525223,2.784543438,4.023722337,1.640198114,2.238283807,3.944013573,2.781297054,4.557151481,2.512475873,3.332619390,4.182035351,7.240024087,5.340711485,3.873984338,1.602773648,4.017708423,2.188032814,4.284934593,3.744162109,3.965314182,2.782474375,2.573875443,3.852879083,1.745812218,1.660226463,3.115633291,6.254736840,1.906165777,1.818068868,1.681818871,7.834480415,3.389838922,4.090210601,5.255719957,1.882629537,0.000000000,6.952822755,5.676921633,1.687868853,1.416078195,1.819881867,1.527236106,3.386520986,2.896116757
azure2019_D__5T,5.095226126,5.384901927,7.518231487,4.802303984,7.203343393,5.395973718,6.408809090,6.302616784,5.298456034,6.365238410,10.277054190,7.537454032,5.498588776,5.382277468,4.056936457,3.425574772,8.406982662,6.462556284,6.430809828,6.051917180,4.145908438,4.516288158,3.906069715,7.753622680,5.214698267,3.932244451,7.916802256,6.976165378,9.128857578,5.049013650,7.750048185,7.962467234,7.771830822,2.787933431,9.394594557,3.917832442,2.981474395,8.082880569,6.952822755,0.000000000,1.910438937,6.168543110,6.143669441,5.602910332,6.366412216,4.648063308,5.630376977
azure2019_I__5T,3.689097286,3.840489349,6.339134728,3.376591275,6.055542715,4.259110155,4.973317852,5.101960128,4.202255924,4.831553514,9.344529184,6.204949746,4.039227763,4.408200002,3.219338743,1.801812130,7.206380950,5.053895548,5.557783631,4.528104272,2.540166306,2.864706402,2.210262527,6.759578858,4.033757322,2.362448044,6.680236613,5.708588534,8.053282698,3.868999289,6.504685562,6.656409906,6.505580062,3.007303509,8.354423282,2.303860015,1.512107288,6.795538603,5.676921633,1.910438937,0.000000000,4.837089369,4.739701787,4.155844582,5.053222125,3.208547517,4.186776245
current_velocity__10T,2.674635859,2.145247556,2.350932993,2.533131066,2.363919037,3.568303665,1.993627236,2.298132259,4.034749727,2.864317569,5.584600078,2.778306659,3.238309728,4.073600734,6.069008703,4.315192009,4.420462539,1.451843969,4.080649599,1.811498424,3.748915157,3.212671247,3.004254943,3.293243752,1.664932101,2.915956571,2.633118054,2.578035282,4.370218697,5.466460234,2.087675642,2.125860633,2.456182726,7.036727510,3.992774581,3.554783883,4.343155768,2.101809368,1.687868853,6.168543110,4.837089369,0.000000000,0.776428023,1.035662438,1.132334228,2.724714442,2.337340226
current_velocity__15T,2.295496031,1.922022587,2.652607945,2.314583391,2.665989285,3.621454120,1.549380028,2.369184960,3.878236882,2.643995251,5.443043795,2.391198809,2.935687592,4.093463358,6.162508245,4.257026577,4.058717120,0.953698864,4.061885291,1.586234258,3.589779792,3.074796724,2.862629169,3.369932656,1.745910817,2.905258413,2.419421117,2.203915333,4.086010246,5.466211325,2.347629220,2.085241081,2.119504428,7.003027872,4.037541016,3.352574253,4.323444663,2.198677424,1.416078195,6.143669441,4.739701787,0.776428023,0.000000000,0.772806956,0.776522655,2.690069123,2.435991747
