dataset_id,dataset_name,family,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
Monash__solar_10_minutes_dataset,solar_10_minutes_dataset,Monash,-5.210189460,0.390878149,0.742540411,-0.100727273,-2.051314883,-1.365855309,-0.235178581,0.324755968,-0.258230014,0.673011699,0.315338802
Monash__solar_4_seconds_dataset,solar_4_seconds_dataset,Monash,-2.111763532,-1.018670546,-0.826226538,0.193175113,-0.047492088,-1.138166953,-0.227540207,-0.394588083,-0.535605946,-0.289439070,-0.553768632
Monash__sunspot_dataset_without_missing_values,sunspot_dataset_without_missing_values,Monash,0.690652763,-0.747016081,0.245267627,-0.404304280,1.038917442,-1.029784260,0.251808748,0.198974032,-0.619372646,0.468220850,-0.769127230
Monash__traffic_hourly_dataset,traffic_hourly_dataset,Monash,1.299064050,1.720827725,1.755386291,0.615977690,1.025175225,-0.465069533,0.107559348,-0.094498421,-0.241079637,0.347275448,0.543811095
Monash__us_births_dataset,us_births_dataset,Monash,4.827425687,0.873773644,-1.880208873,-0.014430801,-0.796741905,-0.215767350,0.519526222,0.557289240,0.815673981,-0.025923324,-0.052103680
Monash__weather_dataset,weather_dataset,Monash,3.187509041,-0.685953180,-1.138671969,-0.354376223,0.375119511,-0.168800046,-0.400821152,-0.083002707,-0.286728978,0.034628608,0.102715141
Monash__wind_4_seconds_dataset,wind_4_seconds_dataset,Monash,-2.588438681,-1.190114872,-0.205939640,-1.103880709,0.741949954,-2.547586333,-0.347374672,-0.338937567,-0.494815081,0.130098167,-0.988626356
Monash__wind_farms_minutely_dataset_without_missing_values,wind_farms_minutely_dataset_without_missing_values,Monash,-1.138162005,-0.472471357,-0.524258760,-0.191726321,-0.256440488,-0.213836983,-0.003222453,-0.160698042,-0.320985267,-0.439909716,0.071209230
TIME__Australia_Solar__H,Australia_Solar__H,TIME,-0.021499356,2.339846420,1.454977676,1.073895117,0.451362762,-1.396861060,-0.228896387,-0.424672507,0.352230573,-0.083816152,-0.663204984
TIME__CPHL__15T,CPHL__15T,TIME,-0.354578207,-1.172149292,-0.237091121,-0.194940540,0.723675819,0.894333795,0.348548557,0.259582239,0.334793678,-0.077616313,-0.032232646
TIME__CPHL__30T,CPHL__30T,TIME,2.307810931,-0.815005927,0.433055576,-0.805652495,0.494689971,0.580752463,0.471977237,0.164559406,-0.359303464,-0.115620589,0.162402039
TIME__CPHL__H,CPHL__H,TIME,1.822969334,-0.213447424,0.365346847,-0.003880559,0.884566586,0.503643166,0.337151206,0.514051180,-0.292908240,-0.123599344,0.167389804
TIME__Coastal_T_S__15T,Coastal_T_S__15T,TIME,1.876667154,-0.718428904,-0.652647166,-0.205804898,0.069897533,0.004146110,-0.295555136,-0.185422384,-0.077109528,-0.309682314,0.200745355
TIME__Coastal_T_S__20T,Coastal_T_S__20T,TIME,-2.075098334,1.692412785,0.598328020,1.399029515,-1.412660771,0.740449443,0.177772655,-0.228745795,-0.803082580,0.096979993,-0.012193281
TIME__Coastal_T_S__5T,Coastal_T_S__5T,TIME,-0.046438316,-0.026308268,-0.707785629,0.091649353,-1.176444853,0.220198401,-0.369894992,-0.127487579,0.122548060,0.368322061,0.468463804
TIME__Coastal_T_S__H,Coastal_T_S__H,TIME,1.909385698,0.308143012,-0.203407983,0.030102499,0.382078445,0.199870166,-0.221088471,0.117935808,0.235135557,-0.181543610,0.283211545
TIME__Crypto__D,Crypto__D,TIME,-2.813784372,-0.554772259,0.262724886,-1.002829784,0.135261811,0.433726000,-0.058103790,0.267527209,0.450967559,-0.177034568,0.218117398
TIME__EWELD_Load__15T,EWELD_Load__15T,TIME,-1.721202479,-1.303121922,0.889690982,-0.423561352,0.503300811,-0.009180772,0.036085494,0.005021441,0.227821695,0.168226933,-0.016719396
TIME__Finland_Traffic__15T,Finland_Traffic__15T,TIME,-4.052506779,-1.553597247,1.380991496,0.132277404,-0.850427209,0.910841284,0.011166385,0.075926761,0.368033594,-0.239559371,-0.487047604
TIME__MetroPT-3__5T,MetroPT-3__5T,TIME,3.428737242,-0.184855987,-0.894058199,0.038940628,-2.043297167,-0.290982058,2.200939672,0.474403929,-0.136662500,0.181219192,0.697011707
TIME__NE_China_Wind__H,NE_China_Wind__H,TIME,-2.285973551,1.215996009,-0.328698042,0.130947335,0.531715338,0.480862847,0.173224212,0.311441226,0.251221517,0.385059424,0.487784582
TIME__Oil_Price__B,Oil_Price__B,TIME,-2.768298427,-0.347520871,-0.615765654,-0.318461835,0.355631867,0.697260565,-0.023394516,0.074914201,0.616337672,-0.255629918,0.072570778
TIME__OpenElectricity_NEM__5T,OpenElectricity_NEM__5T,TIME,-2.752777853,-0.884625911,-0.107531593,-0.110366406,-0.296247140,0.069421078,-0.245060657,0.123526553,0.263023981,-0.390913562,0.123643399
TIME__Port_Activity__D,Port_Activity__D,TIME,5.467595432,-0.756841277,0.216971151,0.126642899,-2.278283849,-0.352984645,0.004477813,0.077783763,1.265980739,0.603350760,-0.038415706
TIME__SG_Carpark__15T,SG_Carpark__15T,TIME,-4.378963860,0.975845492,-0.488793104,0.175618227,-1.175562253,0.061026478,-0.241814772,0.267031667,0.704612147,0.285990347,-0.344234253
TIME__SG_PM25__H,SG_PM25__H,TIME,2.143473347,-0.745663324,0.428617858,-0.581681531,0.688253107,0.300290449,-0.147345932,0.250090825,-0.253934777,-0.126508117,0.088307143
TIME__SG_Weather__D,SG_Weather__D,TIME,3.271401874,-0.635045300,-0.220904739,-0.405915856,0.382867862,0.613939283,-0.505754911,-0.361878601,-0.222471589,0.051772524,0.628151568
TIME__US_Term_Structure__B,US_Term_Structure__B,TIME,-2.862803395,0.003421270,-0.769882173,-0.170163619,0.314360806,0.793113650,0.050165352,0.052043921,0.527970027,-0.023162557,0.149358952
TIME__Water_Quality_Darwin__15T,Water_Quality_Darwin__15T,TIME,-1.764278335,-0.073683964,0.441971656,0.000538950,-0.012505067,0.557665688,0.033367842,0.190290763,-0.224850207,0.023198588,-0.139264214
TIME__azure2019_D__5T,azure2019_D__5T,TIME,4.599607579,-0.462600997,0.565627540,-0.209601470,-1.091003455,0.218659560,-2.089824461,-0.476285227,0.766741557,0.624709479,0.098583404
TIME__azure2019_I__5T,azure2019_I__5T,TIME,3.690331967,-0.689000709,0.018736255,-0.077667995,-0.433994533,0.121188919,-0.996772097,0.046784605,0.393993396,-0.011883186,0.137612409
TIME__current_velocity__10T,current_velocity__10T,TIME,-0.840731350,0.156302068,-0.738667496,0.038386714,0.031688892,0.720573749,-0.058591289,-0.258136884,0.272843412,0.009886475,0.109362548
TIME__current_velocity__15T,current_velocity__15T,TIME,-0.861085553,-0.208700177,-0.477220800,0.004952159,-0.024798204,0.452754801,-0.159159621,0.037894947,0.057656889,-0.385137685,-0.047835912
TIME__current_velocity__20T,current_velocity__20T,TIME,-0.200414578,-0.190045246,-0.249157615,0.053676591,0.174496569,0.505146771,-0.018901862,-0.144766595,0.073687794,-0.337945670,-0.137416502
TIME__current_velocity__5T,current_velocity__5T,TIME,-1.249792226,-0.359065145,-0.513541958,-0.360326242,-0.299799466,0.459455606,-0.427516171,0.072283461,0.288715424,-0.432350823,0.252250519
TIME__current_velocity__H,current_velocity__H,TIME,1.330368204,0.782872794,0.234724373,0.419050979,0.696820567,0.230489133,-0.142520250,0.428033348,0.173991461,-0.210903612,0.029169517
TIME__epf_electricity_price__H,epf_electricity_price__H,TIME,0.510783431,0.637060943,-0.121340834,0.219076902,1.329128685,0.218695072,0.295466941,0.401153422,-0.105386138,0.568222060,-0.094714653
